"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All third level education institutions"
" ","All countries",122395,126300,131812,137323,143271,143546,145287,149502,147926,150674,164759,169317,166574,168640,173462,182623,188178,189147
" ","Origin unknown",1858,1705,466,534,1165,655,416,2025,1241,221,426,1553,322,413,251,691,1674,677
" ","Austria",54,53,33,26,43,50,59,68,42,49,37,43,37,48,52,51,60,47
" ","Belgium",63,74,70,65,74,65,79,86,58,57,73,79,74,87,118,134,126,110
" ","Bulgaria",..,..,..,..,..,..,..,..,25,34,28,33,12,20,24,24,18,23
" ","Canada",133,178,211,270,327,359,416,491,575,419,612,666,714,961,1070,1095,1279,1355
" ","Cyprus",..,..,..,..,..,28,8,19,14,11,12,15,13,10,19,24,32,22
" ","Czech Republic",..,..,..,..,..,30,35,36,29,41,28,29,16,16,17,18,17,13
" ","Germany",474,497,497,474,638,660,715,773,467,537,531,594,452,487,543,676,634,707
" ","Denmark",24,26,21,20,18,26,25,24,21,34,33,38,23,16,19,18,17,19
" ","Estonia",..,..,..,..,..,7,14,20,13,13,11,8,8,13,13,15,10,12
" ","Spain",221,221,253,241,275,350,388,350,187,193,207,240,173,155,152,264,280,274
" ","Finland",84,95,89,97,97,76,77,76,41,48,40,56,37,25,26,34,42,48
" ","France",555,552,556,499,601,700,801,855,450,521,466,590,452,496,459,785,829,939
" ","United Kingdom",1809,1939,1960,2132,2165,2254,2119,2282,2270,2150,2313,2146,1981,1999,2146,2262,2421,1983
" ","Greece",33,43,46,49,45,53,52,48,52,65,37,59,58,71,70,72,63,68
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,17
" ","Hungary",..,..,..,..,..,17,15,27,21,36,42,35,25,22,30,35,49,51
" ","Ireland",113265,116388,122140,126588,130573,129556,131627,132744,134286,138532,151364,154466,154826,154360,155956,159945,164308,163975
" ","Italy",127,135,143,154,146,199,226,278,233,290,263,318,232,216,259,308,367,432
" ","Lithuania",..,..,..,..,..,21,32,51,40,51,54,69,47,48,69,80,72,52
" ","Luxembourg",17,22,11,8,11,10,12,14,10,18,16,17,21,18,37,46,60,89
" ","Latvia",..,..,..,..,..,18,23,29,18,19,33,37,21,23,43,41,34,26
" ","Malta",..,..,..,..,..,9,3,5,6,14,10,23,18,11,9,20,9,11
" ","Netherlands",57,55,58,57,67,80,79,91,62,70,75,78,61,66,75,87,106,97
" ","Poland",..,..,..,..,..,120,174,253,209,248,251,252,129,137,200,216,205,127
" ","Portugal",23,54,9,15,24,17,18,48,33,33,44,42,32,41,44,49,59,62
" ","Romania",..,..,..,..,..,..,..,..,72,109,97,92,60,40,46,81,73,78
" ","Sweden",65,81,71,73,62,90,80,104,71,52,50,59,34,26,26,68,51,70
" ","Slovenia",..,..,..,..,..,2,7,6,8,8,6,3,8,8,12,12,18,12
" ","Slovakia",..,..,..,..,..,12,15,19,16,30,29,28,18,18,20,26,22,17
" ","United States",1580,1825,1768,1953,2006,2168,2051,2500,2802,2538,2718,2619,2268,2381,3122,3447,4288,4532
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",304,415,498,596,589,714,723,774,582,675,711,667,431,554,594,1042,780,920
" ","Asia (1)",1268,1399,2290,2763,3569,4519,4318,4687,3466,3094,3599,3782,3608,5363,6539,8728,8332,10547
" ","Australasia (1)",70,81,72,67,63,74,69,70,95,75,106,72,61,81,110,102,116,84
" ","America (1)",44,62,76,82,80,95,99,128,116,110,157,116,113,172,1019,1610,1339,1156
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",116871,120235,125957,130498,134839,134450,136683,138306,138754,143263,156150,159449,158868,158477,160484,165391,170002,169381
" ","Other Europe (1)",267,400,474,560,633,512,512,521,295,279,280,393,189,238,273,517,368,495
"Aided university sector"
" ","All countries",..,..,..,..,..,..,..,..,78577,82298,87623,89273,89928,90341,93023,95120,100793,105051
" ","Origin unknown",..,..,..,..,..,..,..,..,155,182,186,160,140,148,196,360,487,483
" ","Austria",..,..,..,..,..,..,..,..,30,33,32,35,35,37,42,42,41,33
" ","Belgium",..,..,..,..,..,..,..,..,45,47,61,60,67,70,103,113,107,92
" ","Bulgaria",..,..,..,..,..,..,..,..,20,22,19,20,9,18,18,15,15,9
" ","Canada",..,..,..,..,..,..,..,..,382,407,479,557,621,651,729,751,884,924
" ","Cyprus",..,..,..,..,..,..,..,..,10,10,9,15,13,9,12,14,16,7
" ","Czech Republic",..,..,..,..,..,..,..,..,24,33,23,13,9,13,14,14,13,7
" ","Germany",..,..,..,..,..,..,..,..,385,426,437,472,389,425,446,455,496,503
" ","Denmark",..,..,..,..,..,..,..,..,19,28,26,27,18,14,17,14,15,17
" ","Estonia",..,..,..,..,..,..,..,..,7,6,10,7,6,8,6,3,6,6
" ","Spain",..,..,..,..,..,..,..,..,137,143,133,137,101,122,130,166,207,200
" ","Finland",..,..,..,..,..,..,..,..,32,35,26,29,22,19,22,28,33,41
" ","France",..,..,..,..,..,..,..,..,322,358,320,330,310,387,355,393,549,541
" ","United Kingdom",..,..,..,..,..,..,..,..,1830,1820,1926,1837,1689,1717,1749,1768,1843,1356
" ","Greece",..,..,..,..,..,..,..,..,47,61,32,53,50,63,66,62,55,60
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,15
" ","Hungary",..,..,..,..,..,..,..,..,20,28,37,32,21,20,22,25,36,33
" ","Ireland",..,..,..,..,..,..,..,..,68901,72190,77134,78904,80850,80308,81217,82016,85154,89822
" ","Italy",..,..,..,..,..,..,..,..,212,255,245,241,193,175,214,247,299,334
" ","Lithuania",..,..,..,..,..,..,..,..,27,35,43,54,29,37,35,32,37,10
" ","Luxembourg",..,..,..,..,..,..,..,..,9,16,15,17,19,15,34,42,54,70
" ","Latvia",..,..,..,..,..,..,..,..,10,12,21,24,15,17,16,15,14,6
" ","Malta",..,..,..,..,..,..,..,..,4,8,10,16,11,9,7,13,7,9
" ","Netherlands",..,..,..,..,..,..,..,..,58,61,72,67,56,59,67,76,93,84
" ","Poland",..,..,..,..,..,..,..,..,173,206,214,198,108,104,105,92,107,41
" ","Portugal",..,..,..,..,..,..,..,..,29,31,38,34,29,34,36,39,48,40
" ","Romania",..,..,..,..,..,..,..,..,62,82,84,70,43,33,36,39,42,37
" ","Sweden",..,..,..,..,..,..,..,..,44,48,45,38,28,23,19,25,28,27
" ","Slovenia",..,..,..,..,..,..,..,..,7,4,6,2,5,6,9,9,14,9
" ","Slovakia",..,..,..,..,..,..,..,..,15,20,25,23,17,13,12,15,14,7
" ","United States",..,..,..,..,..,..,..,..,2596,2451,2584,2510,2154,2212,2959,3284,4086,4275
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,395,437,439,419,275,342,355,401,463,306
" ","Asia (1)",..,..,..,..,..,..,..,..,2200,2402,2468,2519,2288,2877,3331,3745,4406,5127
" ","Australasia (1)",..,..,..,..,..,..,..,..,77,69,87,57,53,61,80,76,82,52
" ","America (1)",..,..,..,..,..,..,..,..,84,101,105,79,90,111,354,444,743,219
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",..,..,..,..,..,..,..,..,72479,76018,81043,82755,84142,83755,84809,85772,89359,93416
" ","Other Europe (1)",..,..,..,..,..,..,..,..,209,231,232,217,165,184,210,287,283,249
"HEA institutions (aided)"
" ","All countries",66914,69254,72168,74922,77491,78970,80801,82488,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",70,246,..,43,56,132,84,154,..,..,..,..,..,..,..,..,..,..
" ","Austria",17,20,9,10,14,28,32,37,..,..,..,..,..,..,..,..,..,..
