"Students from Ireland and Northern Ireland (Number) by County of Study,"
"County of Origin and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Carlow"
" ","All counties (2)",2252,2454,2440,2301,2318,2293,2557,2796,2824,2931,3102,3345,3398,3541,3590,3876,3983,4022
" ","Carlow",336,420,434,353,411,416,523,573,654,689,747,743,648,650,652,696,718,746
" ","Dublin",217,184,182,156,151,134,135,146,143,133,144,150,137,123,139,159,177,186
" ","Kildare",334,380,418,406,396,375,393,454,459,495,509,573,600,635,637,693,691,729
" ","Kilkenny",174,215,214,215,184,186,185,181,172,182,201,225,235,261,251,250,266,283
" ","Laois",188,228,224,212,211,205,235,265,257,277,269,292,332,347,352,363,388,359
" ","Longford",9,12,17,12,13,12,10,10,8,9,12,13,13,12,10,11,9,8
" ","Louth",18,18,16,19,17,19,18,20,14,18,19,29,32,35,25,22,32,44
" ","Meath",48,51,50,60,55,47,51,56,58,50,54,51,62,66,70,79,79,84
" ","Offaly",64,68,74,79,61,66,62,77,74,80,88,79,80,97,107,116,108,106
" ","Westmeath",22,22,18,29,23,15,24,24,26,30,36,37,37,39,41,46,41,38
" ","Wexford",263,249,256,273,314,332,351,392,396,405,496,557,576,600,630,668,693,686
" ","Wicklow",133,153,149,153,168,164,173,187,188,209,193,203,217,224,230,261,278,283
" ","Clare",19,23,18,16,17,20,14,13,12,12,13,17,15,18,20,23,30,27
" ","Cork",35,32,32,25,38,32,37,42,48,50,52,58,65,57,55,65,77,91
" ","Kerry",18,14,11,15,9,14,15,18,14,12,10,16,25,22,24,25,26,26
" ","Limerick",25,24,17,14,19,17,19,26,14,10,15,14,15,21,24,32,30,26
" ","Tipperary",138,157,130,106,89,91,107,93,73,64,65,76,85,83,90,87,89,78
" ","Waterford",102,82,65,52,49,34,45,45,43,39,40,36,36,52,62,76,68,64
" ","Galway",27,33,32,23,17,24,36,39,41,44,39,33,36,39,29,26,32,28
" ","Leitrim",6,6,5,7,6,6,13,12,15,10,11,12,11,13,12,13,13,9
" ","Mayo",19,18,22,20,12,21,26,31,33,26,23,36,34,38,38,52,28,36
" ","Roscommon",13,13,9,11,10,9,15,22,19,24,15,25,25,29,23,26,23,23
" ","Sligo",13,10,6,4,6,7,11,11,15,11,11,14,15,13,7,8,8,10
" ","Cavan",15,16,18,18,17,22,25,24,19,18,13,18,16,12,15,19,22,14
" ","Donegal",5,11,9,12,10,4,13,16,10,10,10,18,26,25,22,23,17,14
