"Students from Ireland and Northern Ireland Enrolled in Third Level"
"Institutions (Number) by Type of Institution, County of Origin and Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All third level education institutions"
" ","All counties (2)",114372,117475,123228,127681,131651,130657,132536,133608,135132,139339,152206,155204,155614,155011,156641,160701,165119,164723
" ","Carlow",1365,1491,1604,1499,1590,1709,1761,1801,1760,1926,2082,2162,1935,2030,2018,2087,2168,2064
" ","Dublin",26592,27018,28364,30179,30469,30273,30859,31799,31696,32938,35029,35927,38275,37182,37954,38385,39475,39330
" ","Kildare",4216,4354,4726,4964,5261,5215,5300,5460,5367,5670,6106,6478,6483,6588,6770,7120,7353,7399
" ","Kilkenny",2306,2427,2557,2698,2733,2658,2759,2814,2862,2962,3157,3319,3219,3349,3325,3309,3488,3511
" ","Laois",1519,1576,1639,1715,1798,1787,1836,1950,1977,2138,2108,2132,2161,2168,2253,2300,2453,2453
" ","Longford",1117,1096,1160,1141,1265,1303,1257,1248,1193,1266,1335,1337,1320,1309,1344,1397,1352,1324
" ","Louth",2618,2594,2810,2982,3132,3110,3176,3183,3258,3393,3811,3918,3786,3963,4037,4181,4304,4298
" ","Meath",3536,3519,3820,3967,4391,4437,4458,4548,4562,4670,5125,5369,5722,5810,5958,6166,6515,6669
" ","Offaly",1845,1829,1875,1967,1972,1937,1952,1951,1930,2038,2175,2284,2293,2299,2408,2493,2524,2552
" ","Westmeath",2308,2301,2407,2472,2595,2625,2757,2616,2710,2907,3248,3411,3188,3022,3079,3324,3282,3285
" ","Wexford",3297,3224,3297,3413,3563,3484,3553,3666,3746,3866,4193,4402,4505,4566,4612,4686,4838,4870
" ","Wicklow",2775,2848,2951,2995,3195,3769,3261,3462,3506,3616,3949,4163,4305,4420,4486,4672,4821,4819
" ","Clare",3457,3597,3673,3809,4055,4003,4142,3976,3835,4008,4320,4404,4510,4541,4592,4644,4821,4808
" ","Cork",14603,15123,15587,16100,16426,16430,16484,16455,16871,17258,18204,18247,18596,18690,18803,18939,19608,19810
" ","Kerry",4744,4900,5138,5275,5433,5441,5488,5424,5305,5474,5785,5777,5678,5591,5668,5818,5933,5873
" ","Limerick",5810,6074,6152,6355,6572,6428,6413,6280,6349,6459,6809,7068,7028,7164,7288,7391,7704,7553
" ","Tipperary",4729,4869,4880,4873,5008,4936,5152,4988,4780,4851,5319,5517,5472,5659,5684,5740,5963,5874
" ","Waterford",2864,2986,3083,3279,3356,3164,3252,3378,3737,3977,4242,4362,4388,4453,4562,4541,4638,4444
" ","Galway",7937,8278,8642,9046,9222,8855,9250,9158,9614,10074,10471,10750,10950,9910,10105,10143,10188,10540
" ","Leitrim",872,908,995,1020,1084,1146,1100,1059,1019,1108,1168,1194,1170,1093,1145,1175,1217,1180
" ","Mayo",4282,4426,4568,4849,5128,4915,5149,5153,4926,4960,5266,5307,5184,4999,5058,5002,5161,5054
" ","Roscommon",2053,2024,2090,2268,2216,2201,2300,2330,2095,2135,2369,2397,2356,2390,2373,2431,2448,2457
" ","Sligo",2140,2229,2331,2346,2441,2415,2446,2405,2449,2364,2611,2614,2642,2625,2611,2720,2762,2696
" ","Cavan",1548,1727,1777,1837,1968,1935,1957,1921,1951,1973,2103,2130,2178,2216,2252,2223,2329,2372
" ","Donegal",3359,3625,3709,3729,3932,3580,3843,3940,3880,4222,4648,4705,4720,4797,4951,5148,5431,5496
" ","Monaghan",1373,1345,1399,1489,1577,1524,1592,1632,1722,1763,1849,1930,1920,2000,2067,2130,2212,2117
" ","Antrim",264,265,248,259,243,318,211,215,213,215,226,205,218,169,203,224,268,224
" ","Armagh",103,97,96,98,98,145,100,97,93,86,62,63,71,56,50,59,52,57
" ","Derry",159,143,161,169,173,173,156,140,119,105,108,94,120,81,78,75,87,86
" ","Down",311,306,322,306,304,257,247,227,240,227,246,208,218,210,210,235,236,205
" ","Fermanagh",104,95,95,101,112,84,79,76,69,67,80,63,67,44,62,72,73,74
" ","Tyrone",166,181,166,160,148,124,116,109,112,107,120,105,94,91,82,91,95,102
" ","Origin unknown",..,..,906,321,191,276,130,147,1186,516,3882,3162,842,1526,553,1780,1320,1127
"Aided university sector"
" ","All counties (2)",..,..,..,..,..,..,..,..,69576,72839,77812,79496,81472,80799,81716,82547,85781,90390
" ","Carlow",..,..,..,..,..,..,..,..,630,627,705,747,780,781,758,780,818,883
" ","Dublin",..,..,..,..,..,..,..,..,18582,19312,20519,20718,21455,21361,21214,21232,22067,22784
" ","Kildare",..,..,..,..,..,..,..,..,3055,3240,3519,3742,3760,3701,3788,3962,4237,4484
" ","Kilkenny",..,..,..,..,..,..,..,..,1295,1349,1481,1528,1579,1593,1548,1580,1689,1915
" ","Laois",..,..,..,..,..,..,..,..,970,1033,1034,1021,1079,994,1053,1068,1139,1245
" ","Longford",..,..,..,..,..,..,..,..,546,582,621,629,621,616,628,641,642,695
" ","Louth",..,..,..,..,..,..,..,..,1111,1167,1306,1337,1412,1503,1597,1631,1716,1897
" ","Meath",..,..,..,..,..,..,..,..,2209,2355,2623,2789,3000,3108,3201,3334,3604,3937
" ","Offaly",..,..,..,..,..,..,..,..,920,991,1052,1064,1075,1059,1083,1118,1158,1322
" ","Westmeath",..,..,..,..,..,..,..,..,1128,1212,1356,1403,1414,1408,1399,1440,1508,1653
" ","Wexford",..,..,..,..,..,..,..,..,1572,1670,1784,1888,1958,1936,1973,2042,2184,2404
" ","Wicklow",..,..,..,..,..,..,..,..,1878,1944,2119,2205,2273,2322,2320,2355,2489,2583
" ","Clare",..,..,..,..,..,..,..,..,2196,2296,2482,2512,2577,2540,2602,2617,2701,2756
" ","Cork",..,..,..,..,..,..,..,..,10066,10334,11044,11273,11507,11541,11486,11295,11495,11718
" ","Kerry",..,..,..,..,..,..,..,..,2586,2740,2825,2853,2802,2723,2793,2898,2983,3104
" ","Limerick",..,..,..,..,..,..,..,..,3474,3620,3820,3977,3923,3947,4042,4091,4283,4333
" ","Tipperary",..,..,..,..,..,..,..,..,2412,2517,2661,2736,2786,2801,2890,2896,3050,3093
" ","Waterford",..,..,..,..,..,..,..,..,1410,1485,1535,1598,1593,1598,1677,1700,1796,1818
" ","Galway",..,..,..,..,..,..,..,..,5217,5649,5954,6082,6246,5939,6037,6083,5950,6679
" ","Leitrim",..,..,..,..,..,..,..,..,398,464,517,561,566,502,525,530,540,595
" ","Mayo",..,..,..,..,..,..,..,..,2171,2255,2460,2479,2485,2403,2522,2495,2600,2788
" ","Roscommon",..,..,..,..,..,..,..,..,991,1020,1111,1134,1191,1154,1164,1200,1201,1341
" ","Sligo",..,..,..,..,..,..,..,..,979,999,1147,1100,1141,1084,1094,1117,1153,1188
" ","Cavan",..,..,..,..,..,..,..,..,834,868,931,929,954,990,1022,1033,1077,1262
" ","Donegal",..,..,..,..,..,..,..,..,1444,1566,1670,1705,1774,1774,1850,1869,1978,2168
" ","Monaghan",..,..,..,..,..,..,..,..,712,726,743,781,777,818,851,904,976,1054
" ","Antrim",..,..,..,..,..,..,..,..,180,189,201,184,200,157,188,205,251,213
" ","Armagh",..,..,..,..,..,..,..,..,70,68,53,46,48,38,32,35,37,36
" ","Derry",..,..,..,..,..,..,..,..,93,79,82,71,71,47,48,48,57,47
" ","Down",..,..,..,..,..,..,..,..,181,170,185,161,173,142,131,131,158,154
" ","Fermanagh",..,..,..,..,..,..,..,..,57,54,59,47,48,31,41,45,54,46
" ","Tyrone",..,..,..,..,..,..,..,..,94,89,98,83,82,76,59,67,70,72
" ","Origin unknown",..,..,..,..,..,..,..,..,115,169,115,113,122,112,100,105,120,123
"HEA institutions (aided)"
" ","All counties (2)",62732,64431,67430,69339,71345,71790,73503,74200,..,..,..,..,..,..,..,..,..,..
" ","Carlow",596,599,606,649,683,796,699,682,..,..,..,..,..,..,..,..,..,..
" ","Dublin",16081,16764,17130,17905,17809,17368,18717,19216,..,..,..,..,..,..,..,..,..,..
" ","Kildare",2324,2358,2533,2688,2954,2982,3101,3202,..,..,..,..,..,..,..,..,..,..
" ","Kilkenny",1159,1194,1227,1259,1290,1305,1352,1409,..,..,..,..,..,..,..,..,..,..
" ","Laois",764,789,798,828,878,928,945,993,..,..,..,..,..,..,..,..,..,..
" ","Longford",542,517,555,554,590,646,602,613,..,..,..,..,..,..,..,..,..,..
" ","Louth",973,990,1050,1127,1144,1157,1213,1234,..,..,..,..,..,..,..,..,..,..
" ","Meath",1821,1807,1907,2004,2241,2191,2320,2336,..,..,..,..,..,..,..,..,..,..
" ","Offaly",871,848,844,878,918,924,928,958,..,..,..,..,..,..,..,..,..,..
" ","Westmeath",1143,1111,1187,1141,1173,1202,1228,1212,..,..,..,..,..,..,..,..,..,..
" ","Wexford",1476,1361,1377,1423,1490,1486,1585,1640,..,..,..,..,..,..,..,..,..,..
" ","Wicklow",1550,1537,1629,1614,1721,2252,1779,1917,..,..,..,..,..,..,..,..,..,..
" ","Clare",2129,2229,2269,2372,2514,2509,2623,2554,..,..,..,..,..,..,..,..,..,..
" ","Cork",8837,9102,9477,9954,10375,10625,10634,10563,..,..,..,..,..,..,..,..,..,..
" ","Kerry",2591,2618,2727,2750,2777,2726,2831,2826,..,..,..,..,..,..,..,..,..,..
" ","Limerick",3554,3784,3854,3975,4149,4023,4112,4076,..,..,..,..,..,..,..,..,..,..
" ","Tipperary",2591,2637,2642,2599,2703,2672,2778,2765,..,..,..,..,..,..,..,..,..,..
" ","Waterford",1265,1311,1303,1418,1456,1468,1434,1462,..,..,..,..,..,..,..,..,..,..
" ","Galway",4735,4951,5237,5578,5624,5570,5676,5594,..,..,..,..,..,..,..,..,..,..
" ","Leitrim",384,380,410,410,428,529,446,429,..,..,..,..,..,..,..,..,..,..
" ","Mayo",2091,2109,2244,2249,2394,2361,2462,2383,..,..,..,..,..,..,..,..,..,..
" ","Roscommon",938,930,941,1053,1039,1022,1104,1102,..,..,..,..,..,..,..,..,..,..
" ","Sligo",898,956,972,968,1038,1060,1021,1014,..,..,..,..,..,..,..,..,..,..
" ","Cavan",683,768,785,749,811,832,864,918,..,..,..,..,..,..,..,..,..,..
" ","Donegal",1192,1283,1341,1375,1503,1308,1474,1504,..,..,..,..,..,..,..,..,..,..
" ","Monaghan",563,564,578,569,608,585,662,721,..,..,..,..,..,..,..,..,..,..
" ","Antrim",244,239,228,237,217,302,192,191,..,..,..,..,..,..,..,..,..,..
" ","Armagh",83,78,79,86,89,131,84,78,..,..,..,..,..,..,..,..,..,..
" ","Derry",139,126,138,146,155,152,135,121,..,..,..,..,..,..,..,..,..,..
" ","Down",276,263,278,258,269,226,202,187,..,..,..,..,..,..,..,..,..,..
" ","Fermanagh",91,83,79,82,97,67,66,59,..,..,..,..,..,..,..,..,..,..
" ","Tyrone",148,145,133,120,129,109,104,94,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,872,321,79,276,130,147,..,..,..,..,..,..,..,..,..,..
"Aided technology sector"
" ","All counties (2)",..,..,..,..,..,..,..,..,50469,53179,58706,61684,62263,62858,62949,64365,64349,63817
" ","Carlow",..,..,..,..,..,..,..,..,1012,1070,1137,1144,1033,1000,1013,1067,1107,1103
" ","Dublin",..,..,..,..,..,..,..,..,8421,9804,11315,12257,12926,13257,13322,13585,13574,13646
" ","Kildare",..,..,..,..,..,..,..,..,1783,1908,2109,2341,2376,2516,2538,2612,2575,2595
