Counties,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All counties (2),114372.0,117475.0,123228.0,127681.0,131651.0,130657.0,132536.0,133608.0,135132.0,139339.0,152206.0,155204.0,155614.0,155011.0,156641.0,160701.0,165119.0,164723.0
Carlow,1365.0,1491.0,1604.0,1499.0,1590.0,1709.0,1761.0,1801.0,1760.0,1926.0,2082.0,2162.0,1935.0,2030.0,2018.0,2087.0,2168.0,2064.0
Dublin,26592.0,27018.0,28364.0,30179.0,30469.0,30273.0,30859.0,31799.0,31696.0,32938.0,35029.0,35927.0,38275.0,37182.0,37954.0,38385.0,39475.0,39330.0
Kildare,4216.0,4354.0,4726.0,4964.0,5261.0,5215.0,5300.0,5460.0,5367.0,5670.0,6106.0,6478.0,6483.0,6588.0,6770.0,7120.0,7353.0,7399.0
Kilkenny,2306.0,2427.0,2557.0,2698.0,2733.0,2658.0,2759.0,2814.0,2862.0,2962.0,3157.0,3319.0,3219.0,3349.0,3325.0,3309.0,3488.0,3511.0
Laois,1519.0,1576.0,1639.0,1715.0,1798.0,1787.0,1836.0,1950.0,1977.0,2138.0,2108.0,2132.0,2161.0,2168.0,2253.0,2300.0,2453.0,2453.0
Longford,1117.0,1096.0,1160.0,1141.0,1265.0,1303.0,1257.0,1248.0,1193.0,1266.0,1335.0,1337.0,1320.0,1309.0,1344.0,1397.0,1352.0,1324.0
Louth,2618.0,2594.0,2810.0,2982.0,3132.0,3110.0,3176.0,3183.0,3258.0,3393.0,3811.0,3918.0,3786.0,3963.0,4037.0,4181.0,4304.0,4298.0
Meath,3536.0,3519.0,3820.0,3967.0,4391.0,4437.0,4458.0,4548.0,4562.0,4670.0,5125.0,5369.0,5722.0,5810.0,5958.0,6166.0,6515.0,6669.0
Offaly,1845.0,1829.0,1875.0,1967.0,1972.0,1937.0,1952.0,1951.0,1930.0,2038.0,2175.0,2284.0,2293.0,2299.0,2408.0,2493.0,2524.0,2552.0
Westmeath,2308.0,2301.0,2407.0,2472.0,2595.0,2625.0,2757.0,2616.0,2710.0,2907.0,3248.0,3411.0,3188.0,3022.0,3079.0,3324.0,3282.0,3285.0
Wexford,3297.0,3224.0,3297.0,3413.0,3563.0,3484.0,3553.0,3666.0,3746.0,3866.0,4193.0,4402.0,4505.0,4566.0,4612.0,4686.0,4838.0,4870.0
Wicklow,2775.0,2848.0,2951.0,2995.0,3195.0,3769.0,3261.0,3462.0,3506.0,3616.0,3949.0,4163.0,4305.0,4420.0,4486.0,4672.0,4821.0,4819.0
Clare,3457.0,3597.0,3673.0,3809.0,4055.0,4003.0,4142.0,3976.0,3835.0,4008.0,4320.0,4404.0,4510.0,4541.0,4592.0,4644.0,4821.0,4808.0
Cork,14603.0,15123.0,15587.0,16100.0,16426.0,16430.0,16484.0,16455.0,16871.0,17258.0,18204.0,18247.0,18596.0,18690.0,18803.0,18939.0,19608.0,19810.0
Kerry,4744.0,4900.0,5138.0,5275.0,5433.0,5441.0,5488.0,5424.0,5305.0,5474.0,5785.0,5777.0,5678.0,5591.0,5668.0,5818.0,5933.0,5873.0
Limerick,5810.0,6074.0,6152.0,6355.0,6572.0,6428.0,6413.0,6280.0,6349.0,6459.0,6809.0,7068.0,7028.0,7164.0,7288.0,7391.0,7704.0,7553.0
Tipperary,4729.0,4869.0,4880.0,4873.0,5008.0,4936.0,5152.0,4988.0,4780.0,4851.0,5319.0,5517.0,5472.0,5659.0,5684.0,5740.0,5963.0,5874.0
Waterford,2864.0,2986.0,3083.0,3279.0,3356.0,3164.0,3252.0,3378.0,3737.0,3977.0,4242.0,4362.0,4388.0,4453.0,4562.0,4541.0,4638.0,4444.0
Galway,7937.0,8278.0,8642.0,9046.0,9222.0,8855.0,9250.0,9158.0,9614.0,10074.0,10471.0,10750.0,10950.0,9910.0,10105.0,10143.0,10188.0,10540.0
Leitrim,872.0,908.0,995.0,1020.0,1084.0,1146.0,1100.0,1059.0,1019.0,1108.0,1168.0,1194.0,1170.0,1093.0,1145.0,1175.0,1217.0,1180.0
Mayo,4282.0,4426.0,4568.0,4849.0,5128.0,4915.0,5149.0,5153.0,4926.0,4960.0,5266.0,5307.0,5184.0,4999.0,5058.0,5002.0,5161.0,5054.0
Roscommon,2053.0,2024.0,2090.0,2268.0,2216.0,2201.0,2300.0,2330.0,2095.0,2135.0,2369.0,2397.0,2356.0,2390.0,2373.0,2431.0,2448.0,2457.0
