Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Carlow,All counties (2),2252.0,2454.0,2440.0,2301.0,2318.0,2293.0,2557.0,2796.0,2824.0,2931.0,3102.0,3345.0,3398.0,3541.0,3590.0,3876.0,3983.0,4022.0,0,0,0
Carlow,Carlow,336.0,420.0,434.0,353.0,411.0,416.0,523.0,573.0,654.0,689.0,747.0,743.0,648.0,650.0,652.0,696.0,718.0,746.0,0,0,0
Carlow,Dublin,217.0,184.0,182.0,156.0,151.0,134.0,135.0,146.0,143.0,133.0,144.0,150.0,137.0,123.0,139.0,159.0,177.0,186.0,0,0,0
Carlow,Kildare,334.0,380.0,418.0,406.0,396.0,375.0,393.0,454.0,459.0,495.0,509.0,573.0,600.0,635.0,637.0,693.0,691.0,729.0,0,0,0
Carlow,Kilkenny,174.0,215.0,214.0,215.0,184.0,186.0,185.0,181.0,172.0,182.0,201.0,225.0,235.0,261.0,251.0,250.0,266.0,283.0,0,0,0
Carlow,Laois,188.0,228.0,224.0,212.0,211.0,205.0,235.0,265.0,257.0,277.0,269.0,292.0,332.0,347.0,352.0,363.0,388.0,359.0,0,0,0
Carlow,Longford,9.0,12.0,17.0,12.0,13.0,12.0,10.0,10.0,8.0,9.0,12.0,13.0,13.0,12.0,10.0,11.0,9.0,8.0,0,0,0
Carlow,Louth,18.0,18.0,16.0,19.0,17.0,19.0,18.0,20.0,14.0,18.0,19.0,29.0,32.0,35.0,25.0,22.0,32.0,44.0,0,0,0
Carlow,Meath,48.0,51.0,50.0,60.0,55.0,47.0,51.0,56.0,58.0,50.0,54.0,51.0,62.0,66.0,70.0,79.0,79.0,84.0,0,0,0
Carlow,Offaly,64.0,68.0,74.0,79.0,61.0,66.0,62.0,77.0,74.0,80.0,88.0,79.0,80.0,97.0,107.0,116.0,108.0,106.0,0,0,0
Carlow,Westmeath,22.0,22.0,18.0,29.0,23.0,15.0,24.0,24.0,26.0,30.0,36.0,37.0,37.0,39.0,41.0,46.0,41.0,38.0,0,0,0
Carlow,Wexford,263.0,249.0,256.0,273.0,314.0,332.0,351.0,392.0,396.0,405.0,496.0,557.0,576.0,600.0,630.0,668.0,693.0,686.0,0,0,0
Carlow,Wicklow,133.0,153.0,149.0,153.0,168.0,164.0,173.0,187.0,188.0,209.0,193.0,203.0,217.0,224.0,230.0,261.0,278.0,283.0,0,0,0
Carlow,Clare,19.0,23.0,18.0,16.0,17.0,20.0,14.0,13.0,12.0,12.0,13.0,17.0,15.0,18.0,20.0,23.0,30.0,27.0,0,0,0
Carlow,Cork,35.0,32.0,32.0,25.0,38.0,32.0,37.0,42.0,48.0,50.0,52.0,58.0,65.0,57.0,55.0,65.0,77.0,91.0,0,0,0
Carlow,Kerry,18.0,14.0,11.0,15.0,9.0,14.0,15.0,18.0,14.0,12.0,10.0,16.0,25.0,22.0,24.0,25.0,26.0,26.0,0,0,0
Carlow,Limerick,25.0,24.0,17.0,14.0,19.0,17.0,19.0,26.0,14.0,10.0,15.0,14.0,15.0,21.0,24.0,32.0,30.0,26.0,0,0,0
Carlow,Tipperary,138.0,157.0,130.0,106.0,89.0,91.0,107.0,93.0,73.0,64.0,65.0,76.0,85.0,83.0,90.0,87.0,89.0,78.0,0,0,0
Carlow,Waterford,102.0,82.0,65.0,52.0,49.0,34.0,45.0,45.0,43.0,39.0,40.0,36.0,36.0,52.0,62.0,76.0,68.0,64.0,0,0,0
Carlow,Galway,27.0,33.0,32.0,23.0,17.0,24.0,36.0,39.0,41.0,44.0,39.0,33.0,36.0,39.0,29.0,26.0,32.0,28.0,0,0,0
