Study_Mode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Institute
Full-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,78577,82298,87623,89273,89928,90341,93023,95120,100793,105051,Aided university sector
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,14647,14703,13936,13915,15767,16834,15547,15655,15574,16509,Aided university sector
Entrants to Third Level Courses (Number),0,0,0,0,0,0,0,0,18461,19760,19986,20147,19743,20267,20753,20992,22461,23026,Aided university sector
Full-time Enrolments to Third Level Courses (Number),11122,11694,12001,12492,12993,13611,13766,14165,14559,15076,15780,15979,16006,15906,15816,16102,16741,16976,"National University of Ireland, Cork"
Part-time Enrolments to Third Level Courses (Number),772,1200,1226,1273,1314,1603,1393,1379,1319,1326,1226,1238,2082,2614,3113,2946,2780,2824,"National University of Ireland, Cork"
Entrants to Third Level Courses (Number),2695,2681,2733,2695,2907,3108,3053,3407,3888,3860,3334,3951,3846,3804,3855,3512,3568,3554,"National University of Ireland, Cork"
Full-time Enrolments to Third Level Courses (Number),15088,14974,15316,15888,16313,16314,16422,16875,17443,18104,19358,19454,19536,20054,21237,21232,21776,22334,"National University of Ireland, Dublin"
Part-time Enrolments to Third Level Courses (Number),3269,2936,4291,4271,4295,6145,6005,5317,4303,4340,4297,4146,3963,3877,3346,3579,3878,3918,"National University of Ireland, Dublin"
Entrants to Third Level Courses (Number),3414,3529,3493,3603,3558,3578,3559,3875,4086,4358,4590,4151,4013,4234,4240,4207,4401,4434,"National University of Ireland, Dublin"
Full-time Enrolments to Third Level Courses (Number),8655,9267,10093,11020,11368,11661,11739,11753,11850,12549,13469,13733,13873,13139,13818,13910,14771,14716,"National University of Ireland, Galway"
Part-time Enrolments to Third Level Courses (Number),1126,1183,1485,1686,1620,2885,2729,2754,2904,2753,2618,2746,2659,2788,2679,3306,3086,2987,"National University of Ireland, Galway"
Entrants to Third Level Courses (Number),2105,2349,2374,2492,2681,2495,2428,2654,2679,2957,3123,3003,3017,3080,2983,2991,3085,3310,"National University of Ireland, Galway"
Full-time Enrolments to Third Level Courses (Number),10896,11039,11212,11628,11722,12679,12939,12912,13037,13506,14390,14562,14482,14123,13937,14225,14497,14715,"Trinity College, Dublin"
Part-time Enrolments to Third Level Courses (Number),2866,2758,2905,2798,2587,2242,2023,1789,1932,1982,1783,1706,1895,1735,1698,1768,1801,1764,"Trinity College, Dublin"
Entrants to Third Level Courses (Number),2422,2365,2348,2320,2296,2395,2438,2653,2617,2864,3217,3019,2882,2602,2879,2990,2939,2971,"Trinity College, Dublin"
Full-time Enrolments to Third Level Courses (Number),4028,4200,4510,4707,4956,5109,5324,5343,5608,6100,6647,7140,7412,7582,8127,8896,9485,10009,"National University of Ireland, Maynooth"
Part-time Enrolments to Third Level Courses (Number),614,552,606,574,436,694,785,825,922,1176,1229,1182,2345,1924,1611,1603,1634,1912,"National University of Ireland, Maynooth"
Entrants to Third Level Courses (Number),1186,1143,1172,1194,1334,1306,1412,1364,1571,1798,1748,1918,1849,1955,2122,2427,2563,2727,"National University of Ireland, Maynooth"
Full-time Enrolments to Third Level Courses (Number),6998,7464,8218,6205,6591,6041,6390,6884,7280,7618,8158,8211,8352,8940,9209,9761,11344,13885,Dublin City University
Part-time Enrolments to Third Level Courses (Number),1174,1222,1459,1445,1302,1089,1366,1893,1943,1965,1837,1988,1959,2727,1669,1262,1328,2048,Dublin City University
Entrants to Third Level Courses (Number),2145,1735,2159,1354,1459,1479,1483,1637,1704,1809,1880,1898,2032,2302,2413,2605,3413,3452,Dublin City University
Full-time Enrolments to Third Level Courses (Number),9394,9852,10010,8142,8494,10428,8457,8592,8800,9345,9821,10194,10267,10597,10879,10994,12179,12416,University of Limerick
Part-time Enrolments to Third Level Courses (Number),1476,1457,1830,1576,1512,1052,1002,1126,1324,1161,946,909,864,1169,1431,1191,1067,1056,University of Limerick
Entrants to Third Level Courses (Number),2382,2248,2206,1816,1829,2367,1873,1925,1916,2114,2094,2207,2104,2290,2261,2260,2492,2578,University of Limerick
Full-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,51572,54464,59832,62885,63874,65039,66490,68324,68570,67636,Aided technology sector
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,15909,15025,15450,15495,15050,15866,17285,17897,19337,19339,Aided technology sector
Entrants to Third Level Courses (Number),0,0,0,0,0,0,0,0,15687,17100,18910,18719,19162,19008,18881,19221,19529,18930,Aided technology sector
Full-time Enrolments to Third Level Courses (Number),9642,9793,9873,10240,10307,10353,10457,10552,9961,10409,11301,11733,12329,12728,13251,13828,14234,13964,Dublin Institute of Technology
Part-time Enrolments to Third Level Courses (Number),5426,5747,5443,5634,5793,5328,5264,0,3594,3586,4020,3671,3834,3963,4658,4711,5089,5104,Dublin Institute of Technology
Entrants to Third Level Courses (Number),3910,3928,3644,3107,2950,2958,2800,2741,2571,2845,3166,2914,3609,3540,3585,3612,3683,3728,Dublin Institute of Technology
Full-time Enrolments to Third Level Courses (Number),3032,3142,3282,3466,3517,3269,3512,3232,2837,3030,3364,3695,3611,3748,3926,3960,3758,3546,Athlone Institute of Technology
Part-time Enrolments to Third Level Courses (Number),567,593,841,365,388,276,333,0,1341,1263,1207,1190,1015,1020,971,1036,1119,979,Athlone Institute of Technology
Entrants to Third Level Courses (Number),1281,1205,1140,1135,1035,1016,1157,941,855,923,1170,1149,1188,1207,1184,1120,1059,1006,Athlone Institute of Technology
Full-time Enrolments to Third Level Courses (Number),2360,2571,2539,2476,2510,2474,2702,2949,2845,2997,3120,3366,3525,3688,3826,4136,4256,4290,"Institute of Technology, Carlow"
Part-time Enrolments to Third Level Courses (Number),429,579,1015,534,513,601,653,0,1262,1327,1162,1503,1516,1681,2361,2085,2564,2684,"Institute of Technology, Carlow"
Entrants to Third Level Courses (Number),1004,1137,949,848,845,732,983,1125,948,969,1050,1137,1189,1121,1125,1099,1191,1216,"Institute of Technology, Carlow"
Full-time Enrolments to Third Level Courses (Number),5395,5615,5929,6068,6108,6205,5823,5710,6254,6461,7313,7236,7385,7326,7490,7766,8009,8112,Cork Institute of Technology
Part-time Enrolments to Third Level Courses (Number),3148,3244,3482,3187,3509,3344,2935,0,2338,1896,1836,1953,2106,2264,2510,2557,2510,2658,Cork Institute of Technology
Entrants to Third Level Courses (Number),1921,1988,2022,1910,1652,1710,1627,1527,1823,1851,1832,1611,1743,1786,1733,1943,1978,2018,Cork Institute of Technology
Full-time Enrolments to Third Level Courses (Number),2583,2355,2585,2624,3111,3072,3214,3287,3445,3732,4148,4353,4210,4178,4146,4389,4387,4323,Dundalk Institute of Technology
