Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All countries,122395,126300,131812,137323,143271,143546,145287,149502,147926,150674,164759,169317,166574,168640,173462,182623,188178,189147
Origin unknown,1858,1705,466,534,1165,655,416,2025,1241,221,426,1553,322,413,251,691,1674,677
Austria,54,53,33,26,43,50,59,68,42,49,37,43,37,48,52,51,60,47
Belgium,63,74,70,65,74,65,79,86,58,57,73,79,74,87,118,134,126,110
Bulgaria,0,0,0,0,0,0,0,0,25,34,28,33,12,20,24,24,18,23
Canada,133,178,211,270,327,359,416,491,575,419,612,666,714,961,1070,1095,1279,1355
Cyprus,0,0,0,0,0,28,8,19,14,11,12,15,13,10,19,24,32,22
Czech Republic,0,0,0,0,0,30,35,36,29,41,28,29,16,16,17,18,17,13
Germany,474,497,497,474,638,660,715,773,467,537,531,594,452,487,543,676,634,707
Denmark,24,26,21,20,18,26,25,24,21,34,33,38,23,16,19,18,17,19
Estonia,0,0,0,0,0,7,14,20,13,13,11,8,8,13,13,15,10,12
Spain,221,221,253,241,275,350,388,350,187,193,207,240,173,155,152,264,280,274
Finland,84,95,89,97,97,76,77,76,41,48,40,56,37,25,26,34,42,48
France,555,552,556,499,601,700,801,855,450,521,466,590,452,496,459,785,829,939
United Kingdom,1809,1939,1960,2132,2165,2254,2119,2282,2270,2150,2313,2146,1981,1999,2146,2262,2421,1983
Greece,33,43,46,49,45,53,52,48,52,65,37,59,58,71,70,72,63,68
Hungary,0,0,0,0,0,17,15,27,21,36,42,35,25,22,30,35,49,51
Ireland,113265,116388,122140,126588,130573,129556,131627,132744,134286,138532,151364,154466,154826,154360,155956,159945,164308,163975
Italy,127,135,143,154,146,199,226,278,233,290,263,318,232,216,259,308,367,432
Lithuania,0,0,0,0,0,21,32,51,40,51,54,69,47,48,69,80,72,52
Luxembourg,17,22,11,8,11,10,12,14,10,18,16,17,21,18,37,46,60,89
Latvia,0,0,0,0,0,18,23,29,18,19,33,37,21,23,43,41,34,26
Malta,0,0,0,0,0,9,3,5,6,14,10,23,18,11,9,20,9,11
Netherlands,57,55,58,57,67,80,79,91,62,70,75,78,61,66,75,87,106,97
Poland,0,0,0,0,0,120,174,253,209,248,251,252,129,137,200,216,205,127
Portugal,23,54,9,15,24,17,18,48,33,33,44,42,32,41,44,49,59,62
Romania,0,0,0,0,0,0,0,0,72,109,97,92,60,40,46,81,73,78
Sweden,65,81,71,73,62,90,80,104,71,52,50,59,34,26,26,68,51,70
Slovenia,0,0,0,0,0,2,7,6,8,8,6,3,8,8,12,12,18,12
Slovakia,0,0,0,0,0,12,15,19,16,30,29,28,18,18,20,26,22,17
United States,1580,1825,1768,1953,2006,2168,2051,2500,2802,2538,2718,2619,2268,2381,3122,3447,4288,4532
Africa (1),304,415,498,596,589,714,723,774,582,675,711,667,431,554,594,1042,780,920
Asia (1),1268,1399,2290,2763,3569,4519,4318,4687,3466,3094,3599,3782,3608,5363,6539,8728,8332,10547
Australasia (1),70,81,72,67,63,74,69,70,95,75,106,72,61,81,110,102,116,84
America (1),44,62,76,82,80,95,99,128,116,110,157,116,113,172,1019,1610,1339,1156
EU 27,116871,120235,125957,130498,134839,134450,136683,138306,138754,143263,156150,159449,158868,158477,160484,165391,170002,169381
