Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2011,AQS,60070002,1,0.3,ppm,3,Chico-Manzanita Ave.,18,75,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-02-2011,AQS,60070002,1,1,ppm,11,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-03-2011,AQS,60070002,1,1.7,ppm,19,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-04-2011,AQS,60070002,1,1.4,ppm,16,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-05-2011,AQS,60070002,1,1.5,ppm,17,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-06-2011,AQS,60070002,1,2.1,ppm,24,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-07-2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-08-2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-09-2011,AQS,60070002,1,0.8,ppm,9,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-10-2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-11-2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-12-2011,AQS,60070002,1,0.6,ppm,7,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/13/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/14/2011,AQS,60070002,1,0.5,ppm,6,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/15/2011,AQS,60070002,1,0.6,ppm,7,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/16/2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/17/2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/18/2011,AQS,60070002,1,0.6,ppm,7,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/19/2011,AQS,60070002,1,0.5,ppm,6,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/20/2011,AQS,60070002,1,0.6,ppm,7,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/21/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/22/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/23/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/24/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/25/2011,AQS,60070002,1,0.9,ppm,10,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/26/2011,AQS,60070002,1,1.1,ppm,13,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/27/2011,AQS,60070002,1,1.7,ppm,19,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/28/2011,AQS,60070002,1,1.4,ppm,16,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/29/2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/30/2011,AQS,60070002,1,0.8,ppm,9,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/31/2011,AQS,60070002,1,1.1,ppm,13,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-01-2011,AQS,60070002,1,1,ppm,11,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-02-2011,AQS,60070002,1,1.2,ppm,14,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-03-2011,AQS,60070002,1,1.3,ppm,15,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-04-2011,AQS,60070002,1,1,ppm,11,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-05-2011,AQS,60070002,1,0.8,ppm,9,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-06-2011,AQS,60070002,1,0.4,ppm,5,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-07-2011,AQS,60070002,1,0.5,ppm,6,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-08-2011,AQS,60070002,1,0.2,ppm,2,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-09-2011,AQS,60070002,1,0.5,ppm,6,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-10-2011,AQS,60070002,1,0.8,ppm,9,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-11-2011,AQS,60070002,1,0.7,ppm,8,Chico-Manzanita Ave.,24,100,42101,Carbon monoxide,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
