Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-03-2011,AQS,60070002,1,43,ug/m3 SC,40,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-09-2011,AQS,60070002,1,24,ug/m3 SC,22,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/15/2011,AQS,60070002,1,23,ug/m3 SC,21,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/21/2011,AQS,60070002,1,36,ug/m3 SC,33,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/27/2011,AQS,60070002,1,50,ug/m3 SC,46,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-02-2011,AQS,60070002,1,36,ug/m3 SC,33,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-08-2011,AQS,60070002,1,6,ug/m3 SC,6,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/14/2011,AQS,60070002,1,11,ug/m3 SC,10,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/20/2011,AQS,60070002,1,21,ug/m3 SC,19,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/26/2011,AQS,60070002,1,11,ug/m3 SC,10,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-04-2011,AQS,60070002,1,13,ug/m3 SC,12,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-10-2011,AQS,60070002,1,10,ug/m3 SC,9,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/16/2011,AQS,60070002,1,7,ug/m3 SC,6,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/22/2011,AQS,60070002,1,9,ug/m3 SC,8,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/28/2011,AQS,60070002,1,9,ug/m3 SC,8,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04-03-2011,AQS,60070002,1,5,ug/m3 SC,5,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04-09-2011,AQS,60070002,1,10,ug/m3 SC,9,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04/15/2011,AQS,60070002,1,24,ug/m3 SC,22,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04/22/2011,AQS,60070002,1,12,ug/m3 SC,11,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05-03-2011,AQS,60070002,1,13,ug/m3 SC,12,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05-05-2011,AQS,60070002,1,30,ug/m3 SC,28,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05-09-2011,AQS,60070002,1,5,ug/m3 SC,5,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/15/2011,AQS,60070002,1,5,ug/m3 SC,5,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/21/2011,AQS,60070002,1,16,ug/m3 SC,15,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/27/2011,AQS,60070002,1,8,ug/m3 SC,7,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06-02-2011,AQS,60070002,1,4,ug/m3 SC,4,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06-08-2011,AQS,60070002,1,13,ug/m3 SC,12,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/14/2011,AQS,60070002,1,13,ug/m3 SC,12,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/20/2011,AQS,60070002,1,14,ug/m3 SC,13,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/29/2011,AQS,60070002,1,5,ug/m3 SC,5,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07-02-2011,AQS,60070002,1,12,ug/m3 SC,11,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07-08-2011,AQS,60070002,1,19,ug/m3 SC,18,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07/14/2011,AQS,60070002,1,18,ug/m3 SC,17,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07/20/2011,AQS,60070002,1,11,ug/m3 SC,10,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07/26/2011,AQS,60070002,1,15,ug/m3 SC,14,Chico-Manzanita Ave.,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
