Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-04-2012,AQS,60070002,1,26.3,ug/m3 LC,81,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-10-2012,AQS,60070002,1,28.6,ug/m3 LC,86,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-12-2012,AQS,60070002,1,24.6,ug/m3 LC,77,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/18/2012,AQS,60070002,1,11.3,ug/m3 LC,47,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/22/2012,AQS,60070002,1,4.9,ug/m3 LC,20,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/28/2012,AQS,60070002,1,17,ug/m3 LC,61,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-03-2012,AQS,60070002,1,17.4,ug/m3 LC,62,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-09-2012,AQS,60070002,1,9.3,ug/m3 LC,39,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/15/2012,AQS,60070002,1,8.2,ug/m3 LC,34,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/21/2012,AQS,60070002,1,5.5,ug/m3 LC,23,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/27/2012,AQS,60070002,1,9.5,ug/m3 LC,40,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-04-2012,AQS,60070002,1,7.4,ug/m3 LC,31,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-10-2012,AQS,60070002,1,8.2,ug/m3 LC,34,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/16/2012,AQS,60070002,1,1,ug/m3 LC,4,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/24/2012,AQS,60070002,1,3,ug/m3 LC,13,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/28/2012,AQS,60070002,1,5.3,ug/m3 LC,22,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04-03-2012,AQS,60070002,1,4.8,ug/m3 LC,20,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04-09-2012,AQS,60070002,1,10.8,ug/m3 LC,45,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04/15/2012,AQS,60070002,1,4.1,ug/m3 LC,17,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04/21/2012,AQS,60070002,1,5.2,ug/m3 LC,22,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04/27/2012,AQS,60070002,1,1,ug/m3 LC,4,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05-03-2012,AQS,60070002,1,3.3,ug/m3 LC,14,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05-09-2012,AQS,60070002,1,8,ug/m3 LC,33,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/15/2012,AQS,60070002,1,7.9,ug/m3 LC,33,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/21/2012,AQS,60070002,1,7.3,ug/m3 LC,30,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
05/27/2012,AQS,60070002,1,4.6,ug/m3 LC,19,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06-02-2012,AQS,60070002,1,6.3,ug/m3 LC,26,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06-08-2012,AQS,60070002,1,2.6,ug/m3 LC,11,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/14/2012,AQS,60070002,1,3.8,ug/m3 LC,16,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/20/2012,AQS,60070002,1,4.5,ug/m3 LC,19,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
06/26/2012,AQS,60070002,1,3.5,ug/m3 LC,15,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
07-02-2012,AQS,60070002,1,4.6,ug/m3 LC,19,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-04-2012,AQS,60070002,5,27,ug/m3 LC,82,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-10-2012,AQS,60070002,5,29,ug/m3 LC,87,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/16/2012,AQS,60070002,5,16,ug/m3 LC,59,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/22/2012,AQS,60070002,5,6,ug/m3 LC,25,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/28/2012,AQS,60070002,5,18,ug/m3 LC,63,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/31/2012,AQS,60070002,5,11,ug/m3 LC,46,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-09-2012,AQS,60070002,5,11,ug/m3 LC,46,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/15/2012,AQS,60070002,5,10,ug/m3 LC,42,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/21/2012,AQS,60070002,5,8,ug/m3 LC,33,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/28/2012,AQS,60070002,5,12,ug/m3 LC,50,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-04-2012,AQS,60070002,5,8,ug/m3 LC,33,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-10-2012,AQS,60070002,5,10,ug/m3 LC,42,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/13/2012,AQS,60070002,5,4,ug/m3 LC,17,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/22/2012,AQS,60070002,5,2,ug/m3 LC,8,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/28/2012,AQS,60070002,5,7,ug/m3 LC,29,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
04-03-2012,AQS,60070002,5,3,ug/m3 LC,13,Chico-Manzanita Ave.,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
