Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60070008,1,30.3,ppb,28,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-02-2014,AQS,60070008,1,36.5,ppb,34,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-03-2014,AQS,60070008,1,37.9,ppb,35,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-04-2014,AQS,60070008,1,28.8,ppb,26,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-05-2014,AQS,60070008,1,30.8,ppb,28,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-06-2014,AQS,60070008,1,34.1,ppb,32,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-07-2014,AQS,60070008,1,35.1,ppb,33,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-08-2014,AQS,60070008,1,36.1,ppb,34,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-09-2014,AQS,60070008,1,28.1,ppb,26,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-10-2014,AQS,60070008,1,31,ppb,29,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-11-2014,AQS,60070008,1,14.9,ppb,13,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01-12-2014,AQS,60070008,1,14.4,ppb,13,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/13/2014,AQS,60070008,1,32.2,ppb,30,Chico-East Avenue,20,83,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/14/2014,AQS,60070008,1,33.5,ppb,31,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/15/2014,AQS,60070008,1,36.8,ppb,34,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/16/2014,AQS,60070008,1,42.7,ppb,40,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/17/2014,AQS,60070008,1,35.9,ppb,33,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/18/2014,AQS,60070008,1,30.5,ppb,28,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/19/2014,AQS,60070008,1,27.4,ppb,25,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/20/2014,AQS,60070008,1,36.5,ppb,34,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/21/2014,AQS,60070008,1,29.2,ppb,27,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/22/2014,AQS,60070008,1,32.8,ppb,30,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/23/2014,AQS,60070008,1,24.6,ppb,23,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/24/2014,AQS,60070008,1,40.6,ppb,38,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/25/2014,AQS,60070008,1,31.1,ppb,29,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/26/2014,AQS,60070008,1,31.8,ppb,29,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/27/2014,AQS,60070008,1,35.5,ppb,33,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/28/2014,AQS,60070008,1,40.4,ppb,38,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/29/2014,AQS,60070008,1,24.1,ppb,23,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/30/2014,AQS,60070008,1,23.1,ppb,22,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
01/31/2014,AQS,60070008,1,14.5,ppb,13,Chico-East Avenue,23,96,42602,Nitrogen dioxide (NO2),17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
