Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-05-2014,AQS,60190007,1,95,ug/m3 SC,71,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-11-2014,AQS,60190007,1,49,ug/m3 SC,45,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/17/2014,AQS,60190007,1,101,ug/m3 SC,74,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/23/2014,AQS,60190007,1,96,ug/m3 SC,71,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/29/2014,AQS,60190007,1,80,ug/m3 SC,63,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-04-2014,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-10-2014,AQS,60190007,1,11,ug/m3 SC,10,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02/16/2014,AQS,60190007,1,14,ug/m3 SC,13,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02/22/2014,AQS,60190007,1,41,ug/m3 SC,38,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02/28/2014,AQS,60190007,1,6,ug/m3 SC,6,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03-06-2014,AQS,60190007,1,21,ug/m3 SC,19,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03-12-2014,AQS,60190007,1,23,ug/m3 SC,21,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/18/2014,AQS,60190007,1,24,ug/m3 SC,22,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/24/2014,AQS,60190007,1,35,ug/m3 SC,32,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/30/2014,AQS,60190007,1,7,ug/m3 SC,6,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04-05-2014,AQS,60190007,1,9,ug/m3 SC,8,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/17/2014,AQS,60190007,1,36,ug/m3 SC,33,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/23/2014,AQS,60190007,1,18,ug/m3 SC,17,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/29/2014,AQS,60190007,1,30,ug/m3 SC,28,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05-05-2014,AQS,60190007,1,29,ug/m3 SC,27,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05-11-2014,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/17/2014,AQS,60190007,1,25,ug/m3 SC,23,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/23/2014,AQS,60190007,1,28,ug/m3 SC,26,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/29/2014,AQS,60190007,1,36,ug/m3 SC,33,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06-04-2014,AQS,60190007,1,30,ug/m3 SC,28,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06-10-2014,AQS,60190007,1,58,ug/m3 SC,52,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/16/2014,AQS,60190007,1,29,ug/m3 SC,27,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/22/2014,AQS,60190007,1,22,ug/m3 SC,20,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/28/2014,AQS,60190007,1,14,ug/m3 SC,13,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07-04-2014,AQS,60190007,1,41,ug/m3 SC,38,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07-10-2014,AQS,60190007,1,39,ug/m3 SC,36,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07/16/2014,AQS,60190007,1,34,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07/22/2014,AQS,60190007,1,31,ug/m3 SC,29,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07/28/2014,AQS,60190007,1,72,ug/m3 SC,59,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
08-03-2014,AQS,60190007,1,41,ug/m3 SC,38,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
08-09-2014,AQS,60190007,1,37,ug/m3 SC,34,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
08/15/2014,AQS,60190007,1,56,ug/m3 SC,51,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
08/21/2014,AQS,60190007,1,49,ug/m3 SC,45,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
