Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60231004,1,13.3,ppb,12,Jacobs,19,79,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-02-2012,AQS,60231004,1,15.9,ppb,14,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-03-2012,AQS,60231004,1,17.8,ppb,16,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-04-2012,AQS,60231004,1,21.3,ppb,20,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-05-2012,AQS,60231004,1,11.8,ppb,10,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-06-2012,AQS,60231004,1,11,ppb,10,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-07-2012,AQS,60231004,1,10,ppb,9,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-08-2012,AQS,60231004,1,13.7,ppb,12,Jacobs,18,75,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-09-2012,AQS,60231004,1,17.4,ppb,16,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-10-2012,AQS,60231004,1,12.9,ppb,11,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-11-2012,AQS,60231004,1,13.4,ppb,12,Jacobs,20,83,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-12-2012,AQS,60231004,1,18.7,ppb,17,Jacobs,21,88,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/13/2012,AQS,60231004,1,15.2,ppb,14,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/14/2012,AQS,60231004,1,9,ppb,8,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/16/2012,AQS,60231004,1,14.4,ppb,13,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/17/2012,AQS,60231004,1,1.7,ppb,1,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/18/2012,AQS,60231004,1,0.7,ppb,0,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/19/2012,AQS,60231004,1,1.2,ppb,1,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/20/2012,AQS,60231004,1,2,ppb,2,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/21/2012,AQS,60231004,1,7.1,ppb,7,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/22/2012,AQS,60231004,1,2.5,ppb,2,Jacobs,18,75,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/23/2012,AQS,60231004,1,8.9,ppb,8,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/24/2012,AQS,60231004,1,6.6,ppb,6,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/25/2012,AQS,60231004,1,14.6,ppb,13,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/26/2012,AQS,60231004,1,9.5,ppb,8,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/27/2012,AQS,60231004,1,12.4,ppb,11,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/28/2012,AQS,60231004,1,13.1,ppb,12,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/29/2012,AQS,60231004,1,9.3,ppb,8,Jacobs,19,79,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/30/2012,AQS,60231004,1,13.8,ppb,12,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-01-2012,AQS,60231004,1,14,ppb,13,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-02-2012,AQS,60231004,1,17.7,ppb,16,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-03-2012,AQS,60231004,1,12.7,ppb,11,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-04-2012,AQS,60231004,1,15.1,ppb,14,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-05-2012,AQS,60231004,1,13.3,ppb,12,Jacobs,18,75,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-06-2012,AQS,60231004,1,20.5,ppb,19,Jacobs,24,100,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-07-2012,AQS,60231004,1,3.8,ppb,3,Jacobs,23,96,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-08-2012,AQS,60231004,1,10.6,ppb,9,Jacobs,22,92,42602,Nitrogen dioxide (NO2),21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
