Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60231002,2,39,ug/m3 SC,36,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-04-2013,AQS,60231002,2,33,ug/m3 SC,31,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-08-2013,AQS,60231002,2,13,ug/m3 SC,12,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-10-2013,AQS,60231002,2,9,ug/m3 SC,8,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/13/2013,AQS,60231002,2,25,ug/m3 SC,23,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/16/2013,AQS,60231002,2,20,ug/m3 SC,19,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/19/2013,AQS,60231002,2,27,ug/m3 SC,25,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/23/2013,AQS,60231002,2,10,ug/m3 SC,9,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/25/2013,AQS,60231002,2,23,ug/m3 SC,21,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/29/2013,AQS,60231002,2,10,ug/m3 SC,9,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/31/2013,AQS,60231002,2,16,ug/m3 SC,15,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02-03-2013,AQS,60231002,2,48,ug/m3 SC,44,Eureka I Street,1,100,81102,PM10 Total 0-10um STP,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
