Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2015,AQS,60230006,1,30.5,ug/m3 LC,90,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-02-2015,AQS,60230006,1,17.1,ug/m3 LC,62,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-03-2015,AQS,60230006,1,14.5,ug/m3 LC,56,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-04-2015,AQS,60230006,1,17.3,ug/m3 LC,62,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-05-2015,AQS,60230006,1,18.9,ug/m3 LC,65,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-06-2015,AQS,60230006,1,12.5,ug/m3 LC,52,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-07-2015,AQS,60230006,1,10.6,ug/m3 LC,44,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-08-2015,AQS,60230006,1,10.7,ug/m3 LC,45,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-09-2015,AQS,60230006,1,15.6,ug/m3 LC,58,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-10-2015,AQS,60230006,1,20.9,ug/m3 LC,70,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
01-11-2015,AQS,60230006,1,22.5,ug/m3 LC,73,Hoopa Valley Reservation,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,41.04711698,-123.6752334
