Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
04-09-2015,AQS,60290010,1,36,ug/m3 SC,33,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
04-12-2015,AQS,60290010,1,29,ug/m3 SC,27,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
04/18/2015,AQS,60290010,1,45,ug/m3 SC,42,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
04/24/2015,AQS,60290010,1,40,ug/m3 SC,37,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
04/30/2015,AQS,60290010,1,53,ug/m3 SC,49,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
05-06-2015,AQS,60290010,1,31,ug/m3 SC,29,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
05-12-2015,AQS,60290010,1,36,ug/m3 SC,33,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
05/18/2015,AQS,60290010,1,20,ug/m3 SC,19,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
05/24/2015,AQS,60290010,1,22,ug/m3 SC,20,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
05/30/2015,AQS,60290010,1,46,ug/m3 SC,43,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
06-05-2015,AQS,60290010,1,38,ug/m3 SC,35,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
06-11-2015,AQS,60290010,1,31,ug/m3 SC,29,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
06/17/2015,AQS,60290010,1,50,ug/m3 SC,46,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
06/23/2015,AQS,60290010,1,57,ug/m3 SC,52,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
06/29/2015,AQS,60290010,1,49,ug/m3 SC,45,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
07-05-2015,AQS,60290010,1,26,ug/m3 SC,24,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
07-11-2015,AQS,60290010,1,26,ug/m3 SC,24,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
07/17/2015,AQS,60290010,1,40,ug/m3 SC,37,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
07/23/2015,AQS,60290010,1,33,ug/m3 SC,31,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
07/29/2015,AQS,60290010,1,58,ug/m3 SC,52,Bakersfield-Golden/M St,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.385574,-119.015009
