Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-05-2014,AQS,60410001,1,16,ug/m3 SC,15,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-11-2014,AQS,60410001,1,17,ug/m3 SC,16,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/17/2014,AQS,60410001,1,39,ug/m3 SC,36,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/23/2014,AQS,60410001,1,37,ug/m3 SC,34,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/29/2014,AQS,60410001,1,8,ug/m3 SC,7,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
02-04-2014,AQS,60410001,1,9,ug/m3 SC,8,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
02-10-2014,AQS,60410001,1,6,ug/m3 SC,6,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
02/16/2014,AQS,60410001,1,14,ug/m3 SC,13,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
02/22/2014,AQS,60410001,1,12,ug/m3 SC,11,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
02/28/2014,AQS,60410001,1,9,ug/m3 SC,8,San Rafael,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
