Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60410001,3,20.1,ug/m3 LC,68,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-02-2014,AQS,60410001,3,21,ug/m3 LC,70,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-03-2014,AQS,60410001,3,19.2,ug/m3 LC,66,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-04-2014,AQS,60410001,3,13.8,ug/m3 LC,55,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-05-2014,AQS,60410001,3,12.7,ug/m3 LC,52,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-06-2014,AQS,60410001,3,25,ug/m3 LC,78,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-07-2014,AQS,60410001,3,20,ug/m3 LC,68,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-08-2014,AQS,60410001,3,7.7,ug/m3 LC,32,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-09-2014,AQS,60410001,3,10.7,ug/m3 LC,45,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-10-2014,AQS,60410001,3,12.2,ug/m3 LC,51,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-11-2014,AQS,60410001,3,14.4,ug/m3 LC,56,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-12-2014,AQS,60410001,3,10.2,ug/m3 LC,43,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/13/2014,AQS,60410001,3,9.8,ug/m3 LC,41,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/14/2014,AQS,60410001,3,14.5,ug/m3 LC,56,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/15/2014,AQS,60410001,3,19.4,ug/m3 LC,66,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/16/2014,AQS,60410001,3,19.7,ug/m3 LC,67,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01/17/2014,AQS,60410001,3,30.8,ug/m3 LC,90,San Rafael,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
