Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60530002,3,7.2,ug/m3 LC,30,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-02-2013,AQS,60530002,3,4.3,ug/m3 LC,18,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-03-2013,AQS,60530002,3,5.7,ug/m3 LC,24,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-04-2013,AQS,60530002,3,6.5,ug/m3 LC,27,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-05-2013,AQS,60530002,3,6.6,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-06-2013,AQS,60530002,3,8.8,ug/m3 LC,37,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-07-2013,AQS,60530002,3,6,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-08-2013,AQS,60530002,3,4.3,ug/m3 LC,18,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-09-2013,AQS,60530002,3,6,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-10-2013,AQS,60530002,3,4.7,ug/m3 LC,20,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-11-2013,AQS,60530002,3,6.9,ug/m3 LC,29,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01-12-2013,AQS,60530002,3,6.1,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/13/2013,AQS,60530002,3,7,ug/m3 LC,29,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/14/2013,AQS,60530002,3,6.6,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/15/2013,AQS,60530002,3,6.2,ug/m3 LC,26,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/16/2013,AQS,60530002,3,5.4,ug/m3 LC,23,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/17/2013,AQS,60530002,3,3.8,ug/m3 LC,16,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/18/2013,AQS,60530002,3,4.4,ug/m3 LC,18,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/19/2013,AQS,60530002,3,4.5,ug/m3 LC,19,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/20/2013,AQS,60530002,3,5.1,ug/m3 LC,21,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/21/2013,AQS,60530002,3,3.5,ug/m3 LC,15,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/22/2013,AQS,60530002,3,6.2,ug/m3 LC,26,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/23/2013,AQS,60530002,3,7.1,ug/m3 LC,30,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/24/2013,AQS,60530002,3,10,ug/m3 LC,42,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/25/2013,AQS,60530002,3,6.3,ug/m3 LC,26,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/26/2013,AQS,60530002,3,5.9,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/27/2013,AQS,60530002,3,5.8,ug/m3 LC,24,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/28/2013,AQS,60530002,3,6.1,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/29/2013,AQS,60530002,3,9.3,ug/m3 LC,39,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/30/2013,AQS,60530002,3,8.7,ug/m3 LC,36,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
01/31/2013,AQS,60530002,3,5.9,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-01-2013,AQS,60530002,3,8,ug/m3 LC,33,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-02-2013,AQS,60530002,3,13.6,ug/m3 LC,54,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-03-2013,AQS,60530002,3,10.3,ug/m3 LC,43,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-04-2013,AQS,60530002,3,8.8,ug/m3 LC,37,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-05-2013,AQS,60530002,3,7.9,ug/m3 LC,33,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-06-2013,AQS,60530002,3,9.5,ug/m3 LC,40,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-07-2013,AQS,60530002,3,5.5,ug/m3 LC,23,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-08-2013,AQS,60530002,3,5.7,ug/m3 LC,24,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-09-2013,AQS,60530002,3,6.9,ug/m3 LC,29,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-10-2013,AQS,60530002,3,6.4,ug/m3 LC,27,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-11-2013,AQS,60530002,3,6.8,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02-12-2013,AQS,60530002,3,7.5,ug/m3 LC,31,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/13/2013,AQS,60530002,3,9.9,ug/m3 LC,41,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/14/2013,AQS,60530002,3,6.9,ug/m3 LC,29,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/15/2013,AQS,60530002,3,5.8,ug/m3 LC,24,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/16/2013,AQS,60530002,3,7.3,ug/m3 LC,30,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/17/2013,AQS,60530002,3,9.2,ug/m3 LC,38,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/18/2013,AQS,60530002,3,8.9,ug/m3 LC,37,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/19/2013,AQS,60530002,3,6.8,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/20/2013,AQS,60530002,3,7.2,ug/m3 LC,30,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/21/2013,AQS,60530002,3,7.3,ug/m3 LC,30,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/22/2013,AQS,60530002,3,8,ug/m3 LC,33,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/23/2013,AQS,60530002,3,10.5,ug/m3 LC,44,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/24/2013,AQS,60530002,3,6.4,ug/m3 LC,27,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/25/2013,AQS,60530002,3,6,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/26/2013,AQS,60530002,3,5.6,ug/m3 LC,23,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/27/2013,AQS,60530002,3,7.5,ug/m3 LC,31,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
02/28/2013,AQS,60530002,3,5.9,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-01-2013,AQS,60530002,3,5.6,ug/m3 LC,23,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-02-2013,AQS,60530002,3,6.6,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-03-2013,AQS,60530002,3,9.2,ug/m3 LC,38,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-04-2013,AQS,60530002,3,6.6,ug/m3 LC,28,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-05-2013,AQS,60530002,3,5,ug/m3 LC,21,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-06-2013,AQS,60530002,3,6.1,ug/m3 LC,25,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-07-2013,AQS,60530002,3,6.3,ug/m3 LC,26,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
03-08-2013,AQS,60530002,3,7,ug/m3 LC,29,Carmel Valley,1,100,88101,PM2.5 - Local Conditions,41500,"Salinas, CA",6,California,53,Monterey,36.48187,-121.73333
