Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2015,AQS,60550003,1,0.023,ppm,21,Napa,14,82,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-05-2015,AQS,60550003,1,0.011,ppm,10,Napa,13,76,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-06-2015,AQS,60550003,1,0.016,ppm,15,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-07-2015,AQS,60550003,1,0.013,ppm,12,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-08-2015,AQS,60550003,1,0.008,ppm,7,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-09-2015,AQS,60550003,1,0.009,ppm,8,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-10-2015,AQS,60550003,1,0.012,ppm,11,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-11-2015,AQS,60550003,1,0.009,ppm,8,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-12-2015,AQS,60550003,1,0.014,ppm,13,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/13/2015,AQS,60550003,1,0.031,ppm,29,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/14/2015,AQS,60550003,1,0.024,ppm,22,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/15/2015,AQS,60550003,1,0.01,ppm,9,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/16/2015,AQS,60550003,1,0.008,ppm,7,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/17/2015,AQS,60550003,1,0.014,ppm,13,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/18/2015,AQS,60550003,1,0.008,ppm,7,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/19/2015,AQS,60550003,1,0.011,ppm,10,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/20/2015,AQS,60550003,1,0.016,ppm,15,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/21/2015,AQS,60550003,1,0.014,ppm,13,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01/22/2015,AQS,60550003,1,0.013,ppm,12,Napa,17,100,44201,Ozone,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
