"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","060650008","1","0.039","ppm","36","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/02/2015","AQS","060650008","1","0.04","ppm","37","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/03/2015","AQS","060650008","1","0.043","ppm","40","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/04/2015","AQS","060650008","1","0.043","ppm","40","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/05/2015","AQS","060650008","1","0.041","ppm","38","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/06/2015","AQS","060650008","1","0.037","ppm","34","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/07/2015","AQS","060650008","1","0.035","ppm","32","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/08/2015","AQS","060650008","1","0.039","ppm","36","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/09/2015","AQS","060650008","1","0.047","ppm","44","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/10/2015","AQS","060650008","1","0.054","ppm","50","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/11/2015","AQS","060650008","1","0.037","ppm","34","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/12/2015","AQS","060650008","1","0.036","ppm","33","Joshua Tree NP - Cottonwood","13","76.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/14/2015","AQS","060650008","1","0.037","ppm","34","Joshua Tree NP - Cottonwood","16","94.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/15/2015","AQS","060650008","1","0.038","ppm","35","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/16/2015","AQS","060650008","1","0.041","ppm","38","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/17/2015","AQS","060650008","1","0.043","ppm","40","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/18/2015","AQS","060650008","1","0.042","ppm","39","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/19/2015","AQS","060650008","1","0.042","ppm","39","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/20/2015","AQS","060650008","1","0.042","ppm","39","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
"01/21/2015","AQS","060650008","1","0.039","ppm","36","Joshua Tree NP - Cottonwood","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.7411","-115.8206"
