"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/09/2011","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/15/2011","AQS","060670002","1","28","ug/m3 SC","26","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/21/2011","AQS","060670002","1","29","ug/m3 SC","27","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/27/2011","AQS","060670002","1","22","ug/m3 SC","20","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/02/2011","AQS","060670002","1","12","ug/m3 SC","11","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/08/2011","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/14/2011","AQS","060670002","1","12","ug/m3 SC","11","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/20/2011","AQS","060670002","1","10","ug/m3 SC","9","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/26/2011","AQS","060670002","1","6","ug/m3 SC","6","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/04/2011","AQS","060670002","1","12","ug/m3 SC","11","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/10/2011","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/16/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/22/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"03/28/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/03/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/09/2011","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/15/2011","AQS","060670002","1","22","ug/m3 SC","20","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/21/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"04/27/2011","AQS","060670002","1","15","ug/m3 SC","14","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/03/2011","AQS","060670002","1","27","ug/m3 SC","25","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/09/2011","AQS","060670002","1","9","ug/m3 SC","8","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/15/2011","AQS","060670002","1","5","ug/m3 SC","5","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/21/2011","AQS","060670002","1","21","ug/m3 SC","19","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"05/27/2011","AQS","060670002","1","11","ug/m3 SC","10","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/02/2011","AQS","060670002","1","6","ug/m3 SC","6","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/08/2011","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/14/2011","AQS","060670002","1","18","ug/m3 SC","17","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/20/2011","AQS","060670002","1","14","ug/m3 SC","13","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"06/26/2011","AQS","060670002","1","22","ug/m3 SC","20","North Highlands-Blackfoot","1","100.0000","81102","PM10 Total 0-10um STP","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
