"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","060670002","1","0.028","ppm","26","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/02/2017","AQS","060670002","1","0.035","ppm","32","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/03/2017","AQS","060670002","1","0.037","ppm","34","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/04/2017","AQS","060670002","1","0.026","ppm","24","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/05/2017","AQS","060670002","1","0.031","ppm","29","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/06/2017","AQS","060670002","1","0.022","ppm","20","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/07/2017","AQS","060670002","1","0.029","ppm","27","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/08/2017","AQS","060670002","1","0.031","ppm","29","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/09/2017","AQS","060670002","1","0.034","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/10/2017","AQS","060670002","1","0.039","ppm","36","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/11/2017","AQS","060670002","1","0.037","ppm","34","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/12/2017","AQS","060670002","1","0.034","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/13/2017","AQS","060670002","1","0.03","ppm","28","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/17/2017","AQS","060670002","1","0.016","ppm","15","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/18/2017","AQS","060670002","1","0.043","ppm","40","North Highlands-Blackfoot","14","82.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/19/2017","AQS","060670002","1","0.036","ppm","33","North Highlands-Blackfoot","14","82.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/20/2017","AQS","060670002","1","0.039","ppm","36","North Highlands-Blackfoot","13","76.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/21/2017","AQS","060670002","1","0.041","ppm","38","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/22/2017","AQS","060670002","1","0.04","ppm","37","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/23/2017","AQS","060670002","1","0.038","ppm","35","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/24/2017","AQS","060670002","1","0.038","ppm","35","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/25/2017","AQS","060670002","1","0.026","ppm","24","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/26/2017","AQS","060670002","1","0.029","ppm","27","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/27/2017","AQS","060670002","1","0.034","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/28/2017","AQS","060670002","1","0.033","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/29/2017","AQS","060670002","1","0.03","ppm","28","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/30/2017","AQS","060670002","1","0.028","ppm","26","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/31/2017","AQS","060670002","1","0.022","ppm","20","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/01/2017","AQS","060670002","1","0.017","ppm","16","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/02/2017","AQS","060670002","1","0.034","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/03/2017","AQS","060670002","1","0.038","ppm","35","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/04/2017","AQS","060670002","1","0.037","ppm","34","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"02/05/2017","AQS","060670002","1","0.033","ppm","31","North Highlands-Blackfoot","17","100.0000","44201","Ozone","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
