"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2015","AQS","090010017","1","0.052","ppm","48","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/02/2015","AQS","090010017","1","0.052","ppm","48","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/03/2015","AQS","090010017","1","0.024","ppm","22","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/04/2015","AQS","090010017","1","0.044","ppm","41","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/05/2015","AQS","090010017","1","0.046","ppm","43","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/06/2015","AQS","090010017","1","0.047","ppm","44","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/07/2015","AQS","090010017","1","0.03","ppm","28","Greenwich Point Park","13","76.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/08/2015","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/09/2015","AQS","090010017","1","0.039","ppm","36","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/10/2015","AQS","090010017","1","0.038","ppm","35","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/11/2015","AQS","090010017","1","0.047","ppm","44","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
"04/12/2015","AQS","090010017","1","0.045","ppm","42","Greenwich Point Park","17","100.0000","44201","Ozone","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.0046570009343","-73.585128"
