"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","060771002","2","31.8","ppb","29","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/02/2015","AQS","060771002","2","35.3","ppb","33","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/03/2015","AQS","060771002","2","38.6","ppb","36","Stockton-Hazelton","22","92.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/04/2015","AQS","060771002","2","36.2","ppb","34","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/05/2015","AQS","060771002","2","43","ppb","41","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/06/2015","AQS","060771002","2","39.4","ppb","37","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/07/2015","AQS","060771002","2","40.6","ppb","38","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/08/2015","AQS","060771002","2","35.8","ppb","33","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/13/2015","AQS","060771002","2","29.8","ppb","27","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/14/2015","AQS","060771002","2","27","ppb","25","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/15/2015","AQS","060771002","2","27.4","ppb","25","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/16/2015","AQS","060771002","2","21.7","ppb","20","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/17/2015","AQS","060771002","2","18.1","ppb","17","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/18/2015","AQS","060771002","2","17.7","ppb","16","Stockton-Hazelton","23","96.0000","42602","Nitrogen dioxide (NO2)","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
