"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","060771002","1","0.022","ppm","20","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/02/2016","AQS","060771002","1","0.009","ppm","8","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/03/2016","AQS","060771002","1","0.013","ppm","12","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/04/2016","AQS","060771002","1","0.016","ppm","15","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/05/2016","AQS","060771002","1","0.02","ppm","19","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/06/2016","AQS","060771002","1","0.022","ppm","20","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/07/2016","AQS","060771002","1","0.018","ppm","17","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/08/2016","AQS","060771002","1","0.017","ppm","16","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/09/2016","AQS","060771002","1","0.028","ppm","26","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/10/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/11/2016","AQS","060771002","1","0.019","ppm","18","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/12/2016","AQS","060771002","1","0.017","ppm","16","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/13/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/14/2016","AQS","060771002","1","0.019","ppm","18","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/15/2016","AQS","060771002","1","0.018","ppm","17","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/16/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/17/2016","AQS","060771002","1","0.02","ppm","19","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/18/2016","AQS","060771002","1","0.026","ppm","24","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/19/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/20/2016","AQS","060771002","1","0.018","ppm","17","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/21/2016","AQS","060771002","1","0.017","ppm","16","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/22/2016","AQS","060771002","1","0.03","ppm","28","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/23/2016","AQS","060771002","1","0.032","ppm","30","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/24/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/25/2016","AQS","060771002","1","0.023","ppm","21","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/26/2016","AQS","060771002","1","0.019","ppm","18","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/27/2016","AQS","060771002","1","0.014","ppm","13","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/28/2016","AQS","060771002","1","0.01","ppm","9","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/29/2016","AQS","060771002","1","0.029","ppm","27","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/30/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"01/31/2016","AQS","060771002","1","0.033","ppm","31","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/01/2016","AQS","060771002","1","0.03","ppm","28","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/02/2016","AQS","060771002","1","0.024","ppm","22","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/03/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/04/2016","AQS","060771002","1","0.024","ppm","22","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/05/2016","AQS","060771002","1","0.023","ppm","21","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/06/2016","AQS","060771002","1","0.024","ppm","22","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/07/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/08/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/09/2016","AQS","060771002","1","0.021","ppm","19","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/10/2016","AQS","060771002","1","0.016","ppm","15","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/11/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/12/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/13/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/14/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/15/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/16/2016","AQS","060771002","1","0.037","ppm","34","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/17/2016","AQS","060771002","1","0.033","ppm","31","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/18/2016","AQS","060771002","1","0.034","ppm","31","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/19/2016","AQS","060771002","1","0.033","ppm","31","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/20/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/21/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/22/2016","AQS","060771002","1","0.026","ppm","24","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/23/2016","AQS","060771002","1","0.025","ppm","23","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/24/2016","AQS","060771002","1","0.04","ppm","37","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/25/2016","AQS","060771002","1","0.037","ppm","34","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/26/2016","AQS","060771002","1","0.035","ppm","32","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/27/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/28/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"02/29/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/01/2016","AQS","060771002","1","0.035","ppm","32","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/02/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/03/2016","AQS","060771002","1","0.026","ppm","24","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/04/2016","AQS","060771002","1","0.021","ppm","19","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/05/2016","AQS","060771002","1","0.03","ppm","28","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/06/2016","AQS","060771002","1","0.035","ppm","32","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/07/2016","AQS","060771002","1","0.03","ppm","28","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/08/2016","AQS","060771002","1","0.027","ppm","25","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/09/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/10/2016","AQS","060771002","1","0.016","ppm","15","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/11/2016","AQS","060771002","1","0.028","ppm","26","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/12/2016","AQS","060771002","1","0.031","ppm","29","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/13/2016","AQS","060771002","1","0.023","ppm","21","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/14/2016","AQS","060771002","1","0.041","ppm","38","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/15/2016","AQS","060771002","1","0.037","ppm","34","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
"03/16/2016","AQS","060771002","1","0.028","ppm","26","Stockton-Hazelton","17","100.0000","44201","Ozone","44700","Stockton-Lodi, CA","06","California","077","San Joaquin","37.9507408985318","-121.268522670981"
