Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-03-2011,AQS,60830008,1,6,ug/m3 SC,6,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01-09-2011,AQS,60830008,1,9,ug/m3 SC,8,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/15/2011,AQS,60830008,1,17,ug/m3 SC,16,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/21/2011,AQS,60830008,1,16,ug/m3 SC,15,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
01/27/2011,AQS,60830008,1,14,ug/m3 SC,13,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-02-2011,AQS,60830008,1,25,ug/m3 SC,23,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02-08-2011,AQS,60830008,1,15,ug/m3 SC,14,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02/14/2011,AQS,60830008,1,10,ug/m3 SC,9,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02/20/2011,AQS,60830008,1,8,ug/m3 SC,7,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
02/26/2011,AQS,60830008,1,4,ug/m3 SC,4,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
03-04-2011,AQS,60830008,1,12,ug/m3 SC,11,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
03-10-2011,AQS,60830008,1,16,ug/m3 SC,15,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
03/17/2011,AQS,60830008,1,20,ug/m3 SC,19,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
03/22/2011,AQS,60830008,1,9,ug/m3 SC,8,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
03/28/2011,AQS,60830008,1,15,ug/m3 SC,14,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
04-03-2011,AQS,60830008,1,19,ug/m3 SC,18,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
04-09-2011,AQS,60830008,1,14,ug/m3 SC,13,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
04/15/2011,AQS,60830008,1,26,ug/m3 SC,24,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
04/21/2011,AQS,60830008,1,12,ug/m3 SC,11,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
04/27/2011,AQS,60830008,1,22,ug/m3 SC,20,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
05-03-2011,AQS,60830008,1,29,ug/m3 SC,27,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
05-09-2011,AQS,60830008,1,16,ug/m3 SC,15,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
05/15/2011,AQS,60830008,1,10,ug/m3 SC,9,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
05/21/2011,AQS,60830008,1,29,ug/m3 SC,27,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
05/27/2011,AQS,60830008,1,22,ug/m3 SC,20,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
06-02-2011,AQS,60830008,1,15,ug/m3 SC,14,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
06-08-2011,AQS,60830008,1,19,ug/m3 SC,18,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
06/14/2011,AQS,60830008,1,13,ug/m3 SC,12,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
06/20/2011,AQS,60830008,1,11,ug/m3 SC,10,El Capitan,1,100,81102,PM10 Total 0-10um STP,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.46245,-120.02551
