Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2017,AQS,60830011,3,0.5,ppm,6,Santa Barbara,18,75,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-02-2017,AQS,60830011,3,0.5,ppm,6,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-03-2017,AQS,60830011,3,0.5,ppm,6,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-04-2017,AQS,60830011,3,0.3,ppm,3,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-05-2017,AQS,60830011,3,0.3,ppm,3,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-06-2017,AQS,60830011,3,0.5,ppm,6,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-07-2017,AQS,60830011,3,0.5,ppm,6,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-08-2017,AQS,60830011,3,0.4,ppm,5,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-09-2017,AQS,60830011,3,0.4,ppm,5,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-10-2017,AQS,60830011,3,0.4,ppm,5,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
01-11-2017,AQS,60830011,3,0.3,ppm,3,Santa Barbara,24,100,42101,Carbon monoxide,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.427775,-119.6912178
