Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-05-2011,AQS,60850002,3,10.6,ug/m3 LC,44,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-06-2011,AQS,60850002,3,9.2,ug/m3 LC,38,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-07-2011,AQS,60850002,3,21.5,ug/m3 LC,71,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-08-2011,AQS,60850002,3,19.7,ug/m3 LC,67,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-09-2011,AQS,60850002,3,13.7,ug/m3 LC,54,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-10-2011,AQS,60850002,3,10.3,ug/m3 LC,43,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-11-2011,AQS,60850002,3,13.9,ug/m3 LC,55,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01-12-2011,AQS,60850002,3,9.9,ug/m3 LC,41,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/13/2011,AQS,60850002,3,14.2,ug/m3 LC,55,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/14/2011,AQS,60850002,3,9.9,ug/m3 LC,41,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/15/2011,AQS,60850002,3,10,ug/m3 LC,42,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/16/2011,AQS,60850002,3,17.4,ug/m3 LC,62,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/17/2011,AQS,60850002,3,21.4,ug/m3 LC,71,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/18/2011,AQS,60850002,3,10.1,ug/m3 LC,42,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/19/2011,AQS,60850002,3,6.5,ug/m3 LC,27,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/20/2011,AQS,60850002,3,6.9,ug/m3 LC,29,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/21/2011,AQS,60850002,3,13.6,ug/m3 LC,54,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/22/2011,AQS,60850002,3,13.7,ug/m3 LC,54,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/23/2011,AQS,60850002,3,7,ug/m3 LC,29,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/24/2011,AQS,60850002,3,8.2,ug/m3 LC,34,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/25/2011,AQS,60850002,3,12.3,ug/m3 LC,51,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/26/2011,AQS,60850002,3,8.8,ug/m3 LC,37,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/27/2011,AQS,60850002,3,9.3,ug/m3 LC,39,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/28/2011,AQS,60850002,3,22.2,ug/m3 LC,72,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/29/2011,AQS,60850002,3,17.2,ug/m3 LC,62,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/30/2011,AQS,60850002,3,7.4,ug/m3 LC,31,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
01/31/2011,AQS,60850002,3,9.6,ug/m3 LC,40,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-03-2011,AQS,60850002,3,8,ug/m3 LC,33,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-04-2011,AQS,60850002,3,11.6,ug/m3 LC,48,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-05-2011,AQS,60850002,3,9.4,ug/m3 LC,39,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-06-2011,AQS,60850002,3,3.9,ug/m3 LC,16,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-07-2011,AQS,60850002,3,5.3,ug/m3 LC,22,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-08-2011,AQS,60850002,3,6.5,ug/m3 LC,27,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-09-2011,AQS,60850002,3,4.5,ug/m3 LC,19,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-10-2011,AQS,60850002,3,6.6,ug/m3 LC,28,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-11-2011,AQS,60850002,3,7.6,ug/m3 LC,32,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02-12-2011,AQS,60850002,3,9.1,ug/m3 LC,38,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/13/2011,AQS,60850002,3,13,ug/m3 LC,53,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/14/2011,AQS,60850002,3,7.9,ug/m3 LC,33,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/15/2011,AQS,60850002,3,5.7,ug/m3 LC,24,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/16/2011,AQS,60850002,3,4.4,ug/m3 LC,18,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/17/2011,AQS,60850002,3,4.1,ug/m3 LC,17,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/18/2011,AQS,60850002,3,4.7,ug/m3 LC,20,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/19/2011,AQS,60850002,3,7.5,ug/m3 LC,31,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/20/2011,AQS,60850002,3,8.9,ug/m3 LC,37,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/21/2011,AQS,60850002,3,5.4,ug/m3 LC,23,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/22/2011,AQS,60850002,3,6.3,ug/m3 LC,26,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/23/2011,AQS,60850002,3,7.9,ug/m3 LC,33,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/24/2011,AQS,60850002,3,4.9,ug/m3 LC,20,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/25/2011,AQS,60850002,3,3.1,ug/m3 LC,13,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/26/2011,AQS,60850002,3,10.7,ug/m3 LC,45,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/27/2011,AQS,60850002,3,9.7,ug/m3 LC,40,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
02/28/2011,AQS,60850002,3,6.9,ug/m3 LC,29,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
03-01-2011,AQS,60850002,3,5.8,ug/m3 LC,24,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
03-02-2011,AQS,60850002,3,1.4,ug/m3 LC,6,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
03-03-2011,AQS,60850002,3,3.7,ug/m3 LC,15,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
03-04-2011,AQS,60850002,3,4.2,ug/m3 LC,18,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
03-05-2011,AQS,60850002,3,5.1,ug/m3 LC,21,Gilroy,1,100,88101,PM2.5 - Local Conditions,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
