Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-03-2015,AQS,60850005,1,38,ug/m3 SC,35,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01-06-2015,AQS,60850005,1,46,ug/m3 SC,43,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01-09-2015,AQS,60850005,1,47,ug/m3 SC,44,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01-12-2015,AQS,60850005,1,29,ug/m3 SC,27,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/15/2015,AQS,60850005,1,42,ug/m3 SC,39,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/18/2015,AQS,60850005,1,27,ug/m3 SC,25,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/21/2015,AQS,60850005,1,25,ug/m3 SC,23,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/24/2015,AQS,60850005,1,25,ug/m3 SC,23,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/27/2015,AQS,60850005,1,22,ug/m3 SC,20,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/30/2015,AQS,60850005,1,32,ug/m3 SC,30,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02-02-2015,AQS,60850005,1,45,ug/m3 SC,42,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02-05-2015,AQS,60850005,1,16,ug/m3 SC,15,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02-08-2015,AQS,60850005,1,6,ug/m3 SC,6,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02-11-2015,AQS,60850005,1,21,ug/m3 SC,19,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02/14/2015,AQS,60850005,1,27,ug/m3 SC,25,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
02/17/2015,AQS,60850005,1,20,ug/m3 SC,19,San Jose - Jackson,1,100,81102,PM10 Total 0-10um STP,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
