"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2012","AQS","060953001","2","17","ug/m3 SC","16","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/10/2012","AQS","060953001","2","22","ug/m3 SC","20","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/16/2012","AQS","060953001","2","14","ug/m3 SC","13","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/25/2012","AQS","060953001","2","6","ug/m3 SC","6","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"01/28/2012","AQS","060953001","2","9","ug/m3 SC","8","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/03/2012","AQS","060953001","2","7","ug/m3 SC","6","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/09/2012","AQS","060953001","2","8","ug/m3 SC","7","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/15/2012","AQS","060953001","2","2","ug/m3 SC","2","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/21/2012","AQS","060953001","2","9","ug/m3 SC","8","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
"02/27/2012","AQS","060953001","2","10","ug/m3 SC","9","Vacaville-Merchant Street","1","100.0000","81102","PM10 Total 0-10um STP","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.3514","-121.9941"
