"","county","year","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude","Age_Group","Strata","Strata_Name","Numerator","NumeratorTransformed"
"1","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"All Ages","Sex","Male",456,6.12249280951439
"2","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"18 and Over","Sex","Male",283,5.64544689764324
"3","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"18 and Over","Sex","Female",524,6.26149168432104
"4","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"Under 18","Sex","Female",122,4.80402104473326
"5","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"Under 18","Sex","Male",173,5.15329159449778
"6","Butte",2011,0.439481268011527,4.88472622478386,17.5994475138122,16.5773480662983,0.0418808864265928,41.9986149584488,11.340146878825,42.7135862913097,21.327868852459,19.6885245901639,39.75737149,-121.8432863,"All Ages","Sex","Female",646,6.4707995037826
"7","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"Under 18","Sex","Female",103,4.63472898822964
"8","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"18 and Over","Sex","Male",259,5.55682806169954
"9","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"18 and Over","Sex","Female",439,6.08449941307517
"10","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"Under 18","Sex","Male",149,5.00394630594546
"11","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"All Ages","Sex","Male",408,6.01126717440416
"12","Butte",2012,0.485551330798479,5.43726235741445,18.2173529411765,16.9352941176471,0.0442862796833773,45.622691292876,9.53830935251799,36.0602517985612,19.4098360655738,17.9344262295082,39.7593537322433,-121.841990587833,"All Ages","Sex","Female",542,6.29526600143965
"13","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"18 and Over","Sex","Male",273,5.60947179518496
"14","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"All Ages","Sex","Male",433,6.07073772800249
"15","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"Under 18","Sex","Female",115,4.74493212836325
"16","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"18 and Over","Sex","Female",422,6.04500531403601
"17","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"All Ages","Sex","Female",537,6.28599809450886
"18","Butte",2013,0.408587257617729,4.52354570637119,18.5533149171271,17.0303867403315,0.0436344537815126,43.3697478991597,10.3249716231555,38.6015891032917,24,22.1666666666667,39.76168,-121.84047,"Under 18","Sex","Male",160,5.07517381523383
"19","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"Under 18","Sex","Female",121,4.79579054559674
"20","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"18 and Over","Sex","Male",272,5.605802066296
"21","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"All Ages","Sex","Female",529,6.2709884318583
"22","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"18 and Over","Sex","Female",408,6.01126717440416
"23","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"All Ages","Sex","Male",449,6.10702288774225
"24","Butte",2014,0.342977528089888,3.73876404494382,16.5695530726257,15.1983240223464,0.0435496503496504,43.2923076923077,8.31566339066339,32.4981572481572,17.6564885496183,16.3206106870229,39.76168,-121.84047,"Under 18","Sex","Male",177,5.17614973257383
"25","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"All Ages","Sex","Female",563,6.33327962813969
"26","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"Under 18","Sex","Male",184,5.21493575760899
"27","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"Under 18","Sex","Female",124,4.82028156560504
"28","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"All Ages","Sex","Male",481,6.17586727010576
"29","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"18 and Over","Sex","Male",297,5.6937321388027
"30","Butte",2015,0.352706552706553,3.86039886039886,15.9986187845304,14.6933701657459,0.0429625,42.4569444444444,8.95988700564972,34.5861581920904,20.5126050420168,18.9635854341737,39.76168,-121.84047,"18 and Over","Sex","Female",439,6.08449941307517
"31","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"Under 18","Sex","Female",104,4.64439089914137
"32","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"All Ages","Sex","Male",358,5.8805329864007
"33","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"Under 18","Sex","Male",122,4.80402104473326
"34","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"All Ages","Sex","Female",412,6.02102334934953
"35","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"18 and Over","Sex","Female",308,5.73009978297357
"36","Butte",2016,0.339944903581267,3.70798898071625,14.3991780821918,13.158904109589,0.0412918395573997,40.9709543568465,8.28352941176471,32.5198529411765,19.671270718232,18.1740331491713,39.76168,-121.84047,"18 and Over","Sex","Male",236,5.46383180502561
"37","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"18 and Over","Sex","Male",315,5.75257263882563
"38","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"Under 18","Sex","Female",77,4.34380542185368
"39","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"Under 18","Sex","Male",149,5.00394630594546
"40","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"All Ages","Sex","Female",472,6.15697898558556
"41","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"All Ages","Sex","Male",464,6.13988455222626
"42","Butte",2017,0.352354570637119,3.86149584487535,14.332782369146,13.1184573002755,0.0440264623955432,44.6030640668524,9.98457486832205,37.5244544770504,22.1507692307692,20.2861538461538,39.76168,-121.84047,"18 and Over","Sex","Female",395,5.97888576490112
