Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-03-2011,AQS,60070002,1,38.5,ug/m3 LC,108,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01-09-2011,AQS,60070002,1,21.4,ug/m3 LC,71,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/15/2011,AQS,60070002,1,16,ug/m3 LC,59,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/21/2011,AQS,60070002,1,27.5,ug/m3 LC,83,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
01/27/2011,AQS,60070002,1,46.2,ug/m3 LC,127,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-02-2011,AQS,60070002,1,26.8,ug/m3 LC,82,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02-08-2011,AQS,60070002,1,1,ug/m3 LC,4,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/14/2011,AQS,60070002,1,5.5,ug/m3 LC,23,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/20/2011,AQS,60070002,1,16.8,ug/m3 LC,61,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
02/26/2011,AQS,60070002,1,7.7,ug/m3 LC,32,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-04-2011,AQS,60070002,1,6.8,ug/m3 LC,28,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03-10-2011,AQS,60070002,1,4.7,ug/m3 LC,20,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
03/16/2011,AQS,60070002,1,4,ug/m3 LC,17,Chico-Manzanita Ave.,1,100,88101,PM2.5 - Local Conditions,17020,"Chico, CA",6,California,7,Butte,39.75737149,-121.8432863
