Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2015,AQS,60070007,1,0.034,ppm,31,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-02-2015,AQS,60070007,1,0.031,ppm,29,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-03-2015,AQS,60070007,1,0.031,ppm,29,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-04-2015,AQS,60070007,1,0.03,ppm,28,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-05-2015,AQS,60070007,1,0.026,ppm,24,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-06-2015,AQS,60070007,1,0.029,ppm,27,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-07-2015,AQS,60070007,1,0.028,ppm,26,Paradise - Airport,13,76,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-08-2015,AQS,60070007,1,0.027,ppm,25,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-09-2015,AQS,60070007,1,0.024,ppm,22,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-10-2015,AQS,60070007,1,0.02,ppm,19,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-11-2015,AQS,60070007,1,0.023,ppm,21,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01-12-2015,AQS,60070007,1,0.04,ppm,37,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/13/2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/14/2015,AQS,60070007,1,0.029,ppm,27,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/15/2015,AQS,60070007,1,0.03,ppm,28,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/16/2015,AQS,60070007,1,0.026,ppm,24,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/17/2015,AQS,60070007,1,0.02,ppm,19,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/18/2015,AQS,60070007,1,0.014,ppm,13,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/19/2015,AQS,60070007,1,0.016,ppm,15,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/20/2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/21/2015,AQS,60070007,1,0.024,ppm,22,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/22/2015,AQS,60070007,1,0.037,ppm,34,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/23/2015,AQS,60070007,1,0.041,ppm,38,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/24/2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/25/2015,AQS,60070007,1,0.029,ppm,27,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/26/2015,AQS,60070007,1,0.024,ppm,22,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/27/2015,AQS,60070007,1,0.035,ppm,32,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/28/2015,AQS,60070007,1,0.034,ppm,31,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/29/2015,AQS,60070007,1,0.032,ppm,30,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/30/2015,AQS,60070007,1,0.042,ppm,39,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
01/31/2015,AQS,60070007,1,0.039,ppm,36,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-01-2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-02-2015,AQS,60070007,1,0.024,ppm,22,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-03-2015,AQS,60070007,1,0.028,ppm,26,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-04-2015,AQS,60070007,1,0.031,ppm,29,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-05-2015,AQS,60070007,1,0.028,ppm,26,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-06-2015,AQS,60070007,1,0.035,ppm,32,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-07-2015,AQS,60070007,1,0.034,ppm,31,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-08-2015,AQS,60070007,1,0.039,ppm,36,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-09-2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-10-2015,AQS,60070007,1,0.031,ppm,29,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-11-2015,AQS,60070007,1,0.028,ppm,26,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02-12-2015,AQS,60070007,1,0.028,ppm,26,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/13/2015,AQS,60070007,1,0.033,ppm,31,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/14/2015,AQS,60070007,1,0.037,ppm,34,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/15/2015,AQS,60070007,1,0.032,ppm,30,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/16/2015,AQS,60070007,1,0.037,ppm,34,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/17/2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/18/2015,AQS,60070007,1,0.025,ppm,23,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/19/2015,AQS,60070007,1,0.02,ppm,19,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/20/2015,AQS,60070007,1,0.037,ppm,34,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/21/2015,AQS,60070007,1,0.04,ppm,37,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/22/2015,AQS,60070007,1,0.042,ppm,39,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/23/2015,AQS,60070007,1,0.045,ppm,42,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/24/2015,AQS,60070007,1,0.044,ppm,41,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/25/2015,AQS,60070007,1,0.046,ppm,43,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/26/2015,AQS,60070007,1,0.041,ppm,38,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/27/2015,AQS,60070007,1,0.039,ppm,36,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
02/28/2015,AQS,60070007,1,0.034,ppm,31,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
03-01-2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
03-02-2015,AQS,60070007,1,0.038,ppm,35,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
03-03-2015,AQS,60070007,1,0.045,ppm,42,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
03-04-2015,AQS,60070007,1,0.047,ppm,44,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
03-05-2015,AQS,60070007,1,0.05,ppm,46,Paradise - Airport,17,100,44201,Ozone,17020,"Chico, CA",6,California,7,Butte,39.708454,-121.617309
