Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60190008,1,35.6,ug/m3 LC,101,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-07-2013,AQS,60190008,1,27.5,ug/m3 LC,83,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-10-2013,AQS,60190008,1,4.5,ug/m3 LC,19,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01/13/2013,AQS,60190008,1,32.6,ug/m3 LC,94,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01/19/2013,AQS,60190008,1,38.3,ug/m3 LC,108,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01/25/2013,AQS,60190008,1,18.1,ug/m3 LC,64,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01/28/2013,AQS,60190008,1,12.9,ug/m3 LC,53,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01/31/2013,AQS,60190008,1,21,ug/m3 LC,70,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02-03-2013,AQS,60190008,1,25.6,ug/m3 LC,79,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02-06-2013,AQS,60190008,1,17.6,ug/m3 LC,63,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02-09-2013,AQS,60190008,1,18.6,ug/m3 LC,65,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02-12-2013,AQS,60190008,1,16,ug/m3 LC,59,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02/15/2013,AQS,60190008,1,19.6,ug/m3 LC,67,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02/18/2013,AQS,60190008,1,16.6,ug/m3 LC,60,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02/21/2013,AQS,60190008,1,13.2,ug/m3 LC,53,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
02/24/2013,AQS,60190008,1,10.3,ug/m3 LC,43,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
03-02-2013,AQS,60190008,1,16.5,ug/m3 LC,60,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
03-05-2013,AQS,60190008,1,5.7,ug/m3 LC,24,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
03-08-2013,AQS,60190008,1,3.8,ug/m3 LC,16,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
03-11-2013,AQS,60190008,1,8.3,ug/m3 LC,35,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
03/14/2013,AQS,60190008,1,14.2,ug/m3 LC,55,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
