Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2016,AQS,60231004,1,0.03,ppm,28,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-03-2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-04-2016,AQS,60231004,1,0.031,ppm,29,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-05-2016,AQS,60231004,1,0.032,ppm,30,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-06-2016,AQS,60231004,1,0.03,ppm,28,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-07-2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-08-2016,AQS,60231004,1,0.032,ppm,30,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-10-2016,AQS,60231004,1,0.032,ppm,30,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-11-2016,AQS,60231004,1,0.029,ppm,27,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01-12-2016,AQS,60231004,1,0.032,ppm,30,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/14/2016,AQS,60231004,1,0.031,ppm,29,Jacobs,16,94,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/15/2016,AQS,60231004,1,0.031,ppm,29,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/17/2016,AQS,60231004,1,0.031,ppm,29,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/18/2016,AQS,60231004,1,0.029,ppm,27,Jacobs,16,94,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/19/2016,AQS,60231004,1,0.032,ppm,30,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/20/2016,AQS,60231004,1,0.032,ppm,30,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/21/2016,AQS,60231004,1,0.03,ppm,28,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/22/2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/24/2016,AQS,60231004,1,0.026,ppm,24,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/25/2016,AQS,60231004,1,0.011,ppm,10,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/26/2016,AQS,60231004,1,0.023,ppm,21,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/27/2016,AQS,60231004,1,0.017,ppm,16,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/28/2016,AQS,60231004,1,0.032,ppm,30,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/29/2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
01/31/2016,AQS,60231004,1,0.036,ppm,33,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-02-2016,AQS,60231004,1,0.032,ppm,30,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-04-2016,AQS,60231004,1,0.022,ppm,20,Jacobs,13,76,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-05-2016,AQS,60231004,1,0.019,ppm,18,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-07-2016,AQS,60231004,1,0.015,ppm,14,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-08-2016,AQS,60231004,1,0.021,ppm,19,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-09-2016,AQS,60231004,1,0.03,ppm,28,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-10-2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02-12-2016,AQS,60231004,1,0.027,ppm,25,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/14/2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/15/2016,AQS,60231004,1,0.016,ppm,15,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/16/2016,AQS,60231004,1,0.006,ppm,6,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/17/2016,AQS,60231004,1,0.038,ppm,35,Jacobs,14,82,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/18/2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/19/2016,AQS,60231004,1,0.039,ppm,36,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/21/2016,AQS,60231004,1,0.024,ppm,22,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/22/2016,AQS,60231004,1,0.02,ppm,19,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/23/2016,AQS,60231004,1,0.023,ppm,21,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/24/2016,AQS,60231004,1,0.026,ppm,24,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/26/2016,AQS,60231004,1,0.03,ppm,28,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/28/2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
02/29/2016,AQS,60231004,1,0.014,ppm,13,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-01-2016,AQS,60231004,1,0.024,ppm,22,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-02-2016,AQS,60231004,1,0.022,ppm,20,Jacobs,16,94,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-04-2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-05-2016,AQS,60231004,1,0.036,ppm,33,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-06-2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-08-2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-10-2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-11-2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03-12-2016,AQS,60231004,1,0.037,ppm,34,Jacobs,13,76,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/13/2016,AQS,60231004,1,0.039,ppm,36,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/14/2016,AQS,60231004,1,0.041,ppm,38,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/15/2016,AQS,60231004,1,0.041,ppm,38,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/16/2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/17/2016,AQS,60231004,1,0.018,ppm,17,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/18/2016,AQS,60231004,1,0.03,ppm,28,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/19/2016,AQS,60231004,1,0.039,ppm,36,Jacobs,14,82,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/20/2016,AQS,60231004,1,0.037,ppm,34,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/21/2016,AQS,60231004,1,0.039,ppm,36,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/22/2016,AQS,60231004,1,0.035,ppm,32,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/23/2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/24/2016,AQS,60231004,1,0.038,ppm,35,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/25/2016,AQS,60231004,1,0.037,ppm,34,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/26/2016,AQS,60231004,1,0.027,ppm,25,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/27/2016,AQS,60231004,1,0.041,ppm,38,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/28/2016,AQS,60231004,1,0.036,ppm,33,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/29/2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/30/2016,AQS,60231004,1,0.025,ppm,23,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
03/31/2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-01-2016,AQS,60231004,1,0.033,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-02-2016,AQS,60231004,1,0.029,ppm,27,Jacobs,13,76,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-03-2016,AQS,60231004,1,0.029,ppm,27,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-04-2016,AQS,60231004,1,0.037,ppm,34,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-05-2016,AQS,60231004,1,0.029,ppm,27,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-06-2016,AQS,60231004,1,0.029,ppm,27,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-07-2016,AQS,60231004,1,0.035,ppm,32,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-08-2016,AQS,60231004,1,0.034,ppm,31,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-09-2016,AQS,60231004,1,0.031,ppm,29,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-10-2016,AQS,60231004,1,0.038,ppm,35,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-11-2016,AQS,60231004,1,0.039,ppm,36,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04-12-2016,AQS,60231004,1,0.043,ppm,40,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/13/2016,AQS,60231004,1,0.043,ppm,40,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/14/2016,AQS,60231004,1,0.039,ppm,36,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/15/2016,AQS,60231004,1,0.036,ppm,33,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/16/2016,AQS,60231004,1,0.02,ppm,19,Jacobs,15,88,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/17/2016,AQS,60231004,1,0.026,ppm,24,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
04/18/2016,AQS,60231004,1,0.028,ppm,26,Jacobs,17,100,44201,Ozone,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.77678,-124.17949
