Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60290011,3,0.7,ug/m3 LC,3,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-02-2013,AQS,60290011,3,0.2,ug/m3 LC,1,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-03-2013,AQS,60290011,3,0,ug/m3 LC,0,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-04-2013,AQS,60290011,3,0.2,ug/m3 LC,1,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-05-2013,AQS,60290011,3,0.2,ug/m3 LC,1,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-06-2013,AQS,60290011,3,1.1,ug/m3 LC,5,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-07-2013,AQS,60290011,3,0,ug/m3 LC,0,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-08-2013,AQS,60290011,3,0.2,ug/m3 LC,1,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-09-2013,AQS,60290011,3,2.1,ug/m3 LC,9,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-11-2013,AQS,60290011,3,1.5,ug/m3 LC,6,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-12-2013,AQS,60290011,3,1,ug/m3 LC,4,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/13/2013,AQS,60290011,3,0.9,ug/m3 LC,4,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/14/2013,AQS,60290011,3,0.5,ug/m3 LC,2,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/15/2013,AQS,60290011,3,0.3,ug/m3 LC,1,Mojave,1,100,88101,PM2.5 - Local Conditions,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
