Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60290011,2,18,ug/m3 SC,17,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-02-2014,AQS,60290011,2,15,ug/m3 SC,14,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-03-2014,AQS,60290011,2,18,ug/m3 SC,17,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-04-2014,AQS,60290011,2,17,ug/m3 SC,16,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-05-2014,AQS,60290011,2,20,ug/m3 SC,19,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-11-2014,AQS,60290011,2,12,ug/m3 SC,11,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01-12-2014,AQS,60290011,2,24,ug/m3 SC,22,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/13/2014,AQS,60290011,2,12,ug/m3 SC,11,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/14/2014,AQS,60290011,2,11,ug/m3 SC,10,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/15/2014,AQS,60290011,2,13,ug/m3 SC,12,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/16/2014,AQS,60290011,2,15,ug/m3 SC,14,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/17/2014,AQS,60290011,2,14,ug/m3 SC,13,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/18/2014,AQS,60290011,2,10,ug/m3 SC,9,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/19/2014,AQS,60290011,2,8,ug/m3 SC,7,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/20/2014,AQS,60290011,2,13,ug/m3 SC,12,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/22/2014,AQS,60290011,2,24,ug/m3 SC,22,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/23/2014,AQS,60290011,2,11,ug/m3 SC,10,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/24/2014,AQS,60290011,2,6,ug/m3 SC,6,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/25/2014,AQS,60290011,2,9,ug/m3 SC,8,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/26/2014,AQS,60290011,2,18,ug/m3 SC,17,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/27/2014,AQS,60290011,2,44,ug/m3 SC,41,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/28/2014,AQS,60290011,2,39,ug/m3 SC,36,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/29/2014,AQS,60290011,2,40,ug/m3 SC,37,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/30/2014,AQS,60290011,2,21,ug/m3 SC,19,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
01/31/2014,AQS,60290011,2,10,ug/m3 SC,9,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
02-01-2014,AQS,60290011,2,8,ug/m3 SC,7,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
02-02-2014,AQS,60290011,2,16,ug/m3 SC,15,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
02-03-2014,AQS,60290011,2,10,ug/m3 SC,9,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
02-04-2014,AQS,60290011,2,15,ug/m3 SC,14,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
02-05-2014,AQS,60290011,2,23,ug/m3 SC,21,Mojave,1,100,81102,PM10 Total 0-10um STP,12540,"Bakersfield, CA",6,California,29,Kern,35.05055135,-118.1472936
