Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60410001,1,0.03,ppm,28,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-02-2013,AQS,60410001,1,0.03,ppm,28,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-03-2013,AQS,60410001,1,0.019,ppm,18,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-04-2013,AQS,60410001,1,0.026,ppm,24,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-05-2013,AQS,60410001,1,0.018,ppm,17,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-06-2013,AQS,60410001,1,0.023,ppm,21,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-07-2013,AQS,60410001,1,0.007,ppm,6,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-08-2013,AQS,60410001,1,0.012,ppm,11,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-09-2013,AQS,60410001,1,0.034,ppm,31,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-10-2013,AQS,60410001,1,0.032,ppm,30,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-11-2013,AQS,60410001,1,0.029,ppm,27,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
01-12-2013,AQS,60410001,1,0.028,ppm,26,San Rafael,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,41,Marin,37.97231,-122.520004
