Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2013,AQS,60531003,1,23,ppb,22,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-02-2013,AQS,60531003,1,26,ppb,25,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-03-2013,AQS,60531003,1,26,ppb,25,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-04-2013,AQS,60531003,1,21,ppb,20,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-05-2013,AQS,60531003,1,13,ppb,12,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-06-2013,AQS,60531003,1,25,ppb,24,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-07-2013,AQS,60531003,1,25,ppb,24,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-08-2013,AQS,60531003,1,23,ppb,22,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-09-2013,AQS,60531003,1,14,ppb,13,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-10-2013,AQS,60531003,1,26,ppb,25,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-11-2013,AQS,60531003,1,30,ppb,28,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-12-2013,AQS,60531003,1,25,ppb,24,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/13/2013,AQS,60531003,1,30,ppb,28,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/14/2013,AQS,60531003,1,24,ppb,23,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/15/2013,AQS,60531003,1,30,ppb,28,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/16/2013,AQS,60531003,1,31,ppb,29,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/17/2013,AQS,60531003,1,29,ppb,27,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/18/2013,AQS,60531003,1,37,ppb,35,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/19/2013,AQS,60531003,1,41,ppb,39,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/20/2013,AQS,60531003,1,32,ppb,30,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/21/2013,AQS,60531003,1,29,ppb,27,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/22/2013,AQS,60531003,1,32,ppb,30,Salinas 3,24,100,42602,Nitrogen dioxide (NO2),41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
