Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2017,AQS,60531003,1,0.8,ppm,9,Salinas 3,19,79,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-02-2017,AQS,60531003,1,0.6,ppm,7,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-03-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-04-2017,AQS,60531003,1,0.6,ppm,7,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-05-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-06-2017,AQS,60531003,1,0.6,ppm,7,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-07-2017,AQS,60531003,1,0.6,ppm,7,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-08-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-09-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-10-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-11-2017,AQS,60531003,1,0.5,ppm,6,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01-12-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/13/2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/14/2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/15/2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/16/2017,AQS,60531003,1,0.4,ppm,5,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/17/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/18/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/19/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/20/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/21/2017,AQS,60531003,1,0.1,ppm,1,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/22/2017,AQS,60531003,1,0.1,ppm,1,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/23/2017,AQS,60531003,1,0.1,ppm,1,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/24/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/25/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/26/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/27/2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/28/2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/29/2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/30/2017,AQS,60531003,1,0.4,ppm,5,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
01/31/2017,AQS,60531003,1,0.4,ppm,5,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-01-2017,AQS,60531003,1,0.3,ppm,3,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-02-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-03-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-04-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-05-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-06-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
02-07-2017,AQS,60531003,1,0.2,ppm,2,Salinas 3,24,100,42101,Carbon monoxide,41500,"Salinas, CA",6,California,53,Monterey,36.694261,-121.623271
