Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60550003,1,27.6,ug/m3 LC,84,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-02-2012,AQS,60550003,1,21.7,ug/m3 LC,71,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-03-2012,AQS,60550003,1,20,ug/m3 LC,68,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-04-2012,AQS,60550003,1,16.5,ug/m3 LC,60,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-05-2012,AQS,60550003,1,15.8,ug/m3 LC,59,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-06-2012,AQS,60550003,1,18.2,ug/m3 LC,64,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-07-2012,AQS,60550003,1,9.9,ug/m3 LC,41,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-08-2012,AQS,60550003,1,12.1,ug/m3 LC,51,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-09-2012,AQS,60550003,1,24.4,ug/m3 LC,77,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
01-10-2012,AQS,60550003,1,24.3,ug/m3 LC,77,Napa,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,34900,"Napa, CA",6,California,55,Napa,38.310942,-122.296189
