"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/06/2011","AQS","060650004","1","22.4","ppb","21","Mira Loma (Bellegrave)","22","92.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/07/2011","AQS","060650004","1","10.9","ppb","9","Mira Loma (Bellegrave)","22","92.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/08/2011","AQS","060650004","1","24.9","ppb","23","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/09/2011","AQS","060650004","1","21.7","ppb","20","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/10/2011","AQS","060650004","1","28","ppb","26","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/11/2011","AQS","060650004","1","37.7","ppb","35","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/12/2011","AQS","060650004","1","39.3","ppb","37","Mira Loma (Bellegrave)","22","92.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/13/2011","AQS","060650004","1","28.7","ppb","26","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/14/2011","AQS","060650004","1","32.9","ppb","30","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/15/2011","AQS","060650004","1","48","ppb","45","Mira Loma (Bellegrave)","22","92.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/16/2011","AQS","060650004","1","45.6","ppb","42","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/17/2011","AQS","060650004","1","32.7","ppb","30","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/18/2011","AQS","060650004","1","8.4","ppb","8","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/19/2011","AQS","060650004","1","16.2","ppb","15","Mira Loma (Bellegrave)","22","92.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/20/2011","AQS","060650004","1","13.9","ppb","12","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
"04/21/2011","AQS","060650004","1","22","ppb","21","Mira Loma (Bellegrave)","23","96.0000","42602","Nitrogen dioxide (NO2)","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","34.007","-117.521"
