"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2012","AQS","060651003","1","0.6","ppm","7","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/03/2012","AQS","060651003","1","1.1","ppm","13","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/04/2012","AQS","060651003","1","1.4","ppm","16","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/05/2012","AQS","060651003","1","1.3","ppm","15","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/06/2012","AQS","060651003","1","1.3","ppm","15","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/07/2012","AQS","060651003","1","1.1","ppm","13","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/08/2012","AQS","060651003","1","0.3","ppm","3","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/09/2012","AQS","060651003","1","0.9","ppm","10","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/10/2012","AQS","060651003","1","1.1","ppm","13","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
"01/11/2012","AQS","060651003","1","1.3","ppm","15","Riverside (Magnolia)","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.94603","-117.40063"
