"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","060670002","1","1.1","ppm","13","North Highlands-Blackfoot","18","75.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/02/2012","AQS","060670002","1","1.2","ppm","14","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/03/2012","AQS","060670002","1","1.3","ppm","15","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/04/2012","AQS","060670002","1","1.4","ppm","16","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/05/2012","AQS","060670002","1","1.2","ppm","14","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/06/2012","AQS","060670002","1","1.4","ppm","16","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/07/2012","AQS","060670002","1","0.9","ppm","10","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/08/2012","AQS","060670002","1","1.4","ppm","16","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/09/2012","AQS","060670002","1","1.5","ppm","17","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/10/2012","AQS","060670002","1","1.3","ppm","15","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/11/2012","AQS","060670002","1","1.4","ppm","16","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/12/2012","AQS","060670002","1","1.5","ppm","17","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/20/2012","AQS","060670002","1","0.5","ppm","6","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/21/2012","AQS","060670002","1","0.5","ppm","6","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/22/2012","AQS","060670002","1","0.5","ppm","6","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/23/2012","AQS","060670002","1","0.5","ppm","6","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/24/2012","AQS","060670002","1","0.8","ppm","9","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/25/2012","AQS","060670002","1","0.9","ppm","10","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/26/2012","AQS","060670002","1","0.8","ppm","9","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/27/2012","AQS","060670002","1","0.7","ppm","8","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/28/2012","AQS","060670002","1","0.9","ppm","10","North Highlands-Blackfoot","24","100.0000","42101","Carbon monoxide","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
