"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","060670002","1","31","ppb","29","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/02/2015","AQS","060670002","1","32","ppb","30","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/03/2015","AQS","060670002","1","33","ppb","31","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/04/2015","AQS","060670002","1","28","ppb","26","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/05/2015","AQS","060670002","1","28","ppb","26","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/06/2015","AQS","060670002","1","23","ppb","22","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/07/2015","AQS","060670002","1","26","ppb","25","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/08/2015","AQS","060670002","1","22","ppb","21","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/09/2015","AQS","060670002","1","23","ppb","22","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/10/2015","AQS","060670002","1","24","ppb","23","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/11/2015","AQS","060670002","1","25","ppb","24","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
"01/12/2015","AQS","060670002","1","21","ppb","20","North Highlands-Blackfoot","23","96.0000","42602","Nitrogen dioxide (NO2)","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.71209","-121.38109"
