"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","060670006","1","8.8","ug/m3 LC","37","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/02/2017","AQS","060670006","1","5.9","ug/m3 LC","25","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/03/2017","AQS","060670006","1","3.8","ug/m3 LC","16","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/04/2017","AQS","060670006","1","4","ug/m3 LC","17","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/05/2017","AQS","060670006","1","3.4","ug/m3 LC","14","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/06/2017","AQS","060670006","1","7.5","ug/m3 LC","31","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/07/2017","AQS","060670006","1","5.6","ug/m3 LC","23","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/08/2017","AQS","060670006","1","1","ug/m3 LC","4","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/09/2017","AQS","060670006","1","2.7","ug/m3 LC","11","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/10/2017","AQS","060670006","1","1","ug/m3 LC","4","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/11/2017","AQS","060670006","1","3.4","ug/m3 LC","14","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/12/2017","AQS","060670006","1","9.1","ug/m3 LC","38","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/13/2017","AQS","060670006","1","12.3","ug/m3 LC","51","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/14/2017","AQS","060670006","1","12.1","ug/m3 LC","51","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/15/2017","AQS","060670006","1","25.2","ug/m3 LC","79","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/16/2017","AQS","060670006","1","21.2","ug/m3 LC","70","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/17/2017","AQS","060670006","1","19.7","ug/m3 LC","67","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/18/2017","AQS","060670006","1","18.4","ug/m3 LC","64","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/20/2017","AQS","060670006","1","2.4","ug/m3 LC","10","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/21/2017","AQS","060670006","1","2.6","ug/m3 LC","11","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/22/2017","AQS","060670006","1","2.9","ug/m3 LC","12","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/23/2017","AQS","060670006","1","2.1","ug/m3 LC","9","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/26/2017","AQS","060670006","1","6.9","ug/m3 LC","29","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/28/2017","AQS","060670006","1","20.6","ug/m3 LC","69","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/29/2017","AQS","060670006","1","23.9","ug/m3 LC","76","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/30/2017","AQS","060670006","1","25.3","ug/m3 LC","79","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"01/31/2017","AQS","060670006","1","24.3","ug/m3 LC","77","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/01/2017","AQS","060670006","1","27","ug/m3 LC","82","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/02/2017","AQS","060670006","1","5.7","ug/m3 LC","24","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
"02/03/2017","AQS","060670006","1","3.4","ug/m3 LC","14","Sacramento-Del Paso Manor","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","067","Sacramento","38.6137790009202","-121.368014"
