"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2011","AQS","060710001","1","0.1","ppm","1","Barstow","19","79.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/02/2011","AQS","060710001","1","0.1","ppm","1","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/03/2011","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/04/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/05/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/06/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/07/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/08/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/09/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/10/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/11/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/12/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/13/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/14/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/15/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/16/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/17/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/18/2011","AQS","060710001","1","0.7","ppm","8","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/19/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/20/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/21/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/22/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/23/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/24/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/25/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/26/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/27/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/28/2011","AQS","060710001","1","0.8","ppm","9","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/29/2011","AQS","060710001","1","0.8","ppm","9","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/30/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/31/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/01/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/02/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/03/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/04/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/05/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/06/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/07/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/08/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/09/2011","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/11/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/12/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/13/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/14/2011","AQS","060710001","1","0.7","ppm","8","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/15/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/16/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/17/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/18/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/19/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/20/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/21/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/22/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/23/2011","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/24/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/25/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/26/2011","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/28/2011","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/01/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/02/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/03/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/04/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/05/2011","AQS","060710001","1","0.7","ppm","8","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/06/2011","AQS","060710001","1","0.7","ppm","8","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/07/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/08/2011","AQS","060710001","1","0.5","ppm","6","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/09/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/10/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/11/2011","AQS","060710001","1","0.6","ppm","7","Barstow","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
