"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/2011","AQS","060730001","1","11","ug/m3 LC","46","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/09/2011","AQS","060730001","1","11.8","ug/m3 LC","49","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/12/2011","AQS","060730001","1","8.5","ug/m3 LC","35","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/21/2011","AQS","060730001","1","6","ug/m3 LC","25","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/24/2011","AQS","060730001","1","5.7","ug/m3 LC","24","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"01/30/2011","AQS","060730001","1","5.1","ug/m3 LC","21","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/02/2011","AQS","060730001","1","3.6","ug/m3 LC","15","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/05/2011","AQS","060730001","1","16.8","ug/m3 LC","61","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/08/2011","AQS","060730001","1","13.9","ug/m3 LC","55","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/11/2011","AQS","060730001","1","5.9","ug/m3 LC","25","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/14/2011","AQS","060730001","1","13.8","ug/m3 LC","55","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/17/2011","AQS","060730001","1","6.2","ug/m3 LC","26","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/20/2011","AQS","060730001","1","4.8","ug/m3 LC","20","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/23/2011","AQS","060730001","1","6.6","ug/m3 LC","28","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"02/26/2011","AQS","060730001","1","2.5","ug/m3 LC","10","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"03/01/2011","AQS","060730001","1","9.4","ug/m3 LC","39","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"03/04/2011","AQS","060730001","1","10.2","ug/m3 LC","43","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"03/07/2011","AQS","060730001","1","7.1","ug/m3 LC","30","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"03/31/2011","AQS","060730001","1","11.7","ug/m3 LC","49","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/12/2011","AQS","060730001","1","12.4","ug/m3 LC","52","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/13/2011","AQS","060730001","1","8.9","ug/m3 LC","37","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/15/2011","AQS","060730001","1","18","ug/m3 LC","63","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/16/2011","AQS","060730001","1","14.9","ug/m3 LC","57","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/21/2011","AQS","060730001","1","5.5","ug/m3 LC","23","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/24/2011","AQS","060730001","1","4.1","ug/m3 LC","17","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/25/2011","AQS","060730001","1","5.5","ug/m3 LC","23","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/27/2011","AQS","060730001","1","13","ug/m3 LC","53","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"04/30/2011","AQS","060730001","1","11.7","ug/m3 LC","49","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/03/2011","AQS","060730001","1","7.2","ug/m3 LC","30","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/06/2011","AQS","060730001","1","18.6","ug/m3 LC","65","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/09/2011","AQS","060730001","1","6.1","ug/m3 LC","25","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/15/2011","AQS","060730001","1","5.8","ug/m3 LC","24","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/18/2011","AQS","060730001","1","5.6","ug/m3 LC","23","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/21/2011","AQS","060730001","1","12.6","ug/m3 LC","52","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/24/2011","AQS","060730001","1","11.2","ug/m3 LC","47","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/27/2011","AQS","060730001","1","12.1","ug/m3 LC","51","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"05/30/2011","AQS","060730001","1","10.6","ug/m3 LC","44","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/02/2011","AQS","060730001","1","6.7","ug/m3 LC","28","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/05/2011","AQS","060730001","1","6.9","ug/m3 LC","29","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/08/2011","AQS","060730001","1","7.9","ug/m3 LC","33","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/11/2011","AQS","060730001","1","7.1","ug/m3 LC","30","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/14/2011","AQS","060730001","1","7.8","ug/m3 LC","33","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/15/2011","AQS","060730001","1","9.6","ug/m3 LC","40","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/17/2011","AQS","060730001","1","6.4","ug/m3 LC","27","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/20/2011","AQS","060730001","1","7.4","ug/m3 LC","31","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/23/2011","AQS","060730001","1","7.8","ug/m3 LC","33","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"06/26/2011","AQS","060730001","1","10.7","ug/m3 LC","45","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/02/2011","AQS","060730001","1","13.9","ug/m3 LC","55","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/05/2011","AQS","060730001","1","11.3","ug/m3 LC","47","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/08/2011","AQS","060730001","1","10.3","ug/m3 LC","43","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/11/2011","AQS","060730001","1","10.9","ug/m3 LC","45","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/14/2011","AQS","060730001","1","6.9","ug/m3 LC","29","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/17/2011","AQS","060730001","1","6.9","ug/m3 LC","29","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/20/2011","AQS","060730001","1","9.5","ug/m3 LC","40","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/23/2011","AQS","060730001","1","6.7","ug/m3 LC","28","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/26/2011","AQS","060730001","1","9.8","ug/m3 LC","41","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"07/29/2011","AQS","060730001","1","7.1","ug/m3 LC","30","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/01/2011","AQS","060730001","1","8.5","ug/m3 LC","35","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/04/2011","AQS","060730001","1","10.2","ug/m3 LC","43","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/07/2011","AQS","060730001","1","9.1","ug/m3 LC","38","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/10/2011","AQS","060730001","1","9.3","ug/m3 LC","39","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/13/2011","AQS","060730001","1","8.9","ug/m3 LC","37","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/16/2011","AQS","060730001","1","13.4","ug/m3 LC","54","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/25/2011","AQS","060730001","1","8.1","ug/m3 LC","34","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/26/2011","AQS","060730001","1","9.5","ug/m3 LC","40","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/28/2011","AQS","060730001","1","9.4","ug/m3 LC","39","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/29/2011","AQS","060730001","1","10.7","ug/m3 LC","45","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"08/31/2011","AQS","060730001","1","9","ug/m3 LC","38","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/03/2011","AQS","060730001","1","13.4","ug/m3 LC","54","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/06/2011","AQS","060730001","1","13.6","ug/m3 LC","54","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/12/2011","AQS","060730001","1","8.6","ug/m3 LC","36","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/15/2011","AQS","060730001","1","11.2","ug/m3 LC","47","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/16/2011","AQS","060730001","1","9.1","ug/m3 LC","38","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/18/2011","AQS","060730001","1","12.1","ug/m3 LC","51","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/21/2011","AQS","060730001","1","13.9","ug/m3 LC","55","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/24/2011","AQS","060730001","1","10.9","ug/m3 LC","45","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/27/2011","AQS","060730001","1","15.8","ug/m3 LC","59","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"09/30/2011","AQS","060730001","1","12.9","ug/m3 LC","53","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"10/03/2011","AQS","060730001","1","8.7","ug/m3 LC","36","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"10/06/2011","AQS","060730001","1","5.4","ug/m3 LC","23","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
"10/09/2011","AQS","060730001","1","9.6","ug/m3 LC","40","Chula Vista","1","100.0000","88101","PM2.5 - Local Conditions","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312310008573","-117.059075"
