"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","18","75.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/02/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/03/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/04/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/05/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/06/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/07/2013","AQS","060750005","1","1.1","ppm","13","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/08/2013","AQS","060750005","1","1.2","ppm","14","San Francisco","21","88.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/09/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/10/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/11/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/12/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/13/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/14/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/15/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/16/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/17/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/18/2013","AQS","060750005","1","1","ppm","11","San Francisco","22","92.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/19/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/20/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/21/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/22/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/23/2013","AQS","060750005","1","1","ppm","11","San Francisco","21","88.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/24/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/25/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/26/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/27/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/28/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/29/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/30/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/31/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/01/2013","AQS","060750005","1","0.8","ppm","9","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/02/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/03/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/04/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","22","92.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/05/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/06/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/07/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/08/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/09/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/10/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/11/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/12/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/13/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/14/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/15/2013","AQS","060750005","1","1","ppm","11","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/16/2013","AQS","060750005","1","1.1","ppm","13","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/17/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/18/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/19/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/20/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/21/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/22/2013","AQS","060750005","1","0.9","ppm","10","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/23/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/24/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/25/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","21","88.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/26/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/28/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/02/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/03/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/04/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/05/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/06/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/07/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/08/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/09/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/10/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/12/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/13/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/14/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/15/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/16/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/17/2013","AQS","060750005","1","0.3","ppm","3","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/18/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/19/2013","AQS","060750005","1","0.7","ppm","8","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/20/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/21/2013","AQS","060750005","1","0.5","ppm","6","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/22/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/23/2013","AQS","060750005","1","0.6","ppm","7","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/24/2013","AQS","060750005","1","0.4","ppm","5","San Francisco","24","100.0000","42101","Carbon monoxide","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
