Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
04-01-2016,AQS,60850002,1,0.041,ppm,38,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-02-2016,AQS,60850002,1,0.042,ppm,39,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-03-2016,AQS,60850002,1,0.042,ppm,39,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-04-2016,AQS,60850002,1,0.04,ppm,37,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-05-2016,AQS,60850002,1,0.048,ppm,44,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-06-2016,AQS,60850002,1,0.056,ppm,54,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-07-2016,AQS,60850002,1,0.041,ppm,38,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-08-2016,AQS,60850002,1,0.029,ppm,27,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-09-2016,AQS,60850002,1,0.026,ppm,24,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04-10-2016,AQS,60850002,1,0.028,ppm,26,Gilroy,17,100,44201,Ozone,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
