"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","060950004","1","0.027","ppm","25","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/02/2015","AQS","060950004","1","0.027","ppm","25","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/03/2015","AQS","060950004","1","0.029","ppm","27","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/04/2015","AQS","060950004","1","0.031","ppm","29","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/05/2015","AQS","060950004","1","0.027","ppm","25","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/06/2015","AQS","060950004","1","0.023","ppm","21","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/07/2015","AQS","060950004","1","0.022","ppm","20","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/08/2015","AQS","060950004","1","0.014","ppm","13","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/09/2015","AQS","060950004","1","0.011","ppm","10","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/11/2015","AQS","060950004","1","0.01","ppm","9","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/12/2015","AQS","060950004","1","0.017","ppm","16","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/13/2015","AQS","060950004","1","0.02","ppm","19","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/14/2015","AQS","060950004","1","0.024","ppm","22","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/15/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/16/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/17/2015","AQS","060950004","1","0.02","ppm","19","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/18/2015","AQS","060950004","1","0.011","ppm","10","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/19/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/20/2015","AQS","060950004","1","0.014","ppm","13","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/21/2015","AQS","060950004","1","0.018","ppm","17","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/22/2015","AQS","060950004","1","0.014","ppm","13","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/23/2015","AQS","060950004","1","0.012","ppm","11","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/24/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/25/2015","AQS","060950004","1","0.019","ppm","18","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/26/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/27/2015","AQS","060950004","1","0.015","ppm","14","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/29/2015","AQS","060950004","1","0.025","ppm","23","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/30/2015","AQS","060950004","1","0.014","ppm","13","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"01/31/2015","AQS","060950004","1","0.033","ppm","31","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"02/01/2015","AQS","060950004","1","0.021","ppm","19","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"02/02/2015","AQS","060950004","1","0.027","ppm","25","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
"02/03/2015","AQS","060950004","1","0.028","ppm","26","Vallejo","17","100.0000","44201","Ozone","46700","Vallejo-Fairfield, CA","06","California","095","Solano","38.102507","-122.237976"
