"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","060970003","3","25.7","ug/m3 LC","80","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/02/2012","AQS","060970003","3","20.6","ug/m3 LC","69","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/03/2012","AQS","060970003","3","10.6","ug/m3 LC","44","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/04/2012","AQS","060970003","3","13.8","ug/m3 LC","55","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/05/2012","AQS","060970003","3","13.4","ug/m3 LC","54","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/06/2012","AQS","060970003","3","14.4","ug/m3 LC","56","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/07/2012","AQS","060970003","3","8.2","ug/m3 LC","34","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/08/2012","AQS","060970003","3","10.8","ug/m3 LC","45","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/09/2012","AQS","060970003","3","19.7","ug/m3 LC","67","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/10/2012","AQS","060970003","3","24.2","ug/m3 LC","76","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/11/2012","AQS","060970003","3","18.5","ug/m3 LC","64","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/12/2012","AQS","060970003","3","15.1","ug/m3 LC","57","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/13/2012","AQS","060970003","3","19.3","ug/m3 LC","66","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/14/2012","AQS","060970003","3","23.3","ug/m3 LC","75","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/15/2012","AQS","060970003","3","14.6","ug/m3 LC","56","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/16/2012","AQS","060970003","3","11.4","ug/m3 LC","48","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/17/2012","AQS","060970003","3","15","ug/m3 LC","57","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/18/2012","AQS","060970003","3","16","ug/m3 LC","59","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/19/2012","AQS","060970003","3","11","ug/m3 LC","46","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/20/2012","AQS","060970003","3","4","ug/m3 LC","17","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/21/2012","AQS","060970003","3","8.7","ug/m3 LC","36","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/22/2012","AQS","060970003","3","8.4","ug/m3 LC","35","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/23/2012","AQS","060970003","3","4.2","ug/m3 LC","18","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/24/2012","AQS","060970003","3","12.2","ug/m3 LC","51","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/25/2012","AQS","060970003","3","9.6","ug/m3 LC","40","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/26/2012","AQS","060970003","3","4.7","ug/m3 LC","20","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/27/2012","AQS","060970003","3","8.2","ug/m3 LC","34","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/28/2012","AQS","060970003","3","11.2","ug/m3 LC","47","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/29/2012","AQS","060970003","3","18.8","ug/m3 LC","65","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/30/2012","AQS","060970003","3","13","ug/m3 LC","53","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"01/31/2012","AQS","060970003","3","7","ug/m3 LC","29","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/01/2012","AQS","060970003","3","5.8","ug/m3 LC","24","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/02/2012","AQS","060970003","3","7.6","ug/m3 LC","32","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/03/2012","AQS","060970003","3","11.7","ug/m3 LC","49","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/04/2012","AQS","060970003","3","17.2","ug/m3 LC","62","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/05/2012","AQS","060970003","3","19","ug/m3 LC","66","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/06/2012","AQS","060970003","3","14.3","ug/m3 LC","56","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/07/2012","AQS","060970003","3","10.6","ug/m3 LC","44","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/08/2012","AQS","060970003","3","10.1","ug/m3 LC","42","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/09/2012","AQS","060970003","3","10.6","ug/m3 LC","44","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/10/2012","AQS","060970003","3","9.1","ug/m3 LC","38","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/11/2012","AQS","060970003","3","4","ug/m3 LC","17","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/12/2012","AQS","060970003","3","7.2","ug/m3 LC","30","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/13/2012","AQS","060970003","3","4.8","ug/m3 LC","20","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/14/2012","AQS","060970003","3","8.1","ug/m3 LC","34","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/15/2012","AQS","060970003","3","2.8","ug/m3 LC","12","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/16/2012","AQS","060970003","3","7.9","ug/m3 LC","33","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/17/2012","AQS","060970003","3","10.5","ug/m3 LC","44","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/18/2012","AQS","060970003","3","9.2","ug/m3 LC","38","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/19/2012","AQS","060970003","3","8.3","ug/m3 LC","35","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/20/2012","AQS","060970003","3","7.6","ug/m3 LC","32","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/21/2012","AQS","060970003","3","8.4","ug/m3 LC","35","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/22/2012","AQS","060970003","3","5.2","ug/m3 LC","22","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/23/2012","AQS","060970003","3","2.5","ug/m3 LC","10","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/24/2012","AQS","060970003","3","5.5","ug/m3 LC","23","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/25/2012","AQS","060970003","3","7.2","ug/m3 LC","30","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/26/2012","AQS","060970003","3","9.9","ug/m3 LC","41","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/27/2012","AQS","060970003","3","6.6","ug/m3 LC","28","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/28/2012","AQS","060970003","3","8.9","ug/m3 LC","37","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"02/29/2012","AQS","060970003","3","6.3","ug/m3 LC","26","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/01/2012","AQS","060970003","3","7","ug/m3 LC","29","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/02/2012","AQS","060970003","3","6.7","ug/m3 LC","28","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/03/2012","AQS","060970003","3","10.7","ug/m3 LC","45","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/04/2012","AQS","060970003","3","8","ug/m3 LC","33","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/05/2012","AQS","060970003","3","7.2","ug/m3 LC","30","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/06/2012","AQS","060970003","3","3.7","ug/m3 LC","15","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/07/2012","AQS","060970003","3","4.9","ug/m3 LC","20","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/08/2012","AQS","060970003","3","7.2","ug/m3 LC","30","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/09/2012","AQS","060970003","3","11.6","ug/m3 LC","48","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
"03/10/2012","AQS","060970003","3","8","ug/m3 LC","33","Santa Rosa - 5th St","1","100.0000","88101","PM2.5 - Local Conditions","42220","Santa Rosa, CA","06","California","097","Sonoma","38.443503","-122.710169"
