"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2014","AQS","060970001","2","20","ug/m3 SC","19","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/02/2014","AQS","060970001","2","19","ug/m3 SC","18","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/03/2014","AQS","060970001","2","14","ug/m3 SC","13","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/04/2014","AQS","060970001","2","17","ug/m3 SC","16","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/05/2014","AQS","060970001","2","18","ug/m3 SC","17","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/06/2014","AQS","060970001","2","23","ug/m3 SC","21","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/07/2014","AQS","060970001","2","23","ug/m3 SC","21","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/08/2014","AQS","060970001","2","11","ug/m3 SC","10","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/09/2014","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/10/2014","AQS","060970001","2","10","ug/m3 SC","9","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/11/2014","AQS","060970001","2","17","ug/m3 SC","16","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/12/2014","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/13/2014","AQS","060970001","2","14","ug/m3 SC","13","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/14/2014","AQS","060970001","2","11","ug/m3 SC","10","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/15/2014","AQS","060970001","2","19","ug/m3 SC","18","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/16/2014","AQS","060970001","2","19","ug/m3 SC","18","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/17/2014","AQS","060970001","2","18","ug/m3 SC","17","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/18/2014","AQS","060970001","2","12","ug/m3 SC","11","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/19/2014","AQS","060970001","2","13","ug/m3 SC","12","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
