Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60130002,1,0.028,ppm,26,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-02-2012,AQS,60130002,1,0.022,ppm,20,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-03-2012,AQS,60130002,1,0.023,ppm,21,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-04-2012,AQS,60130002,1,0.018,ppm,17,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-05-2012,AQS,60130002,1,0.018,ppm,17,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-06-2012,AQS,60130002,1,0.017,ppm,16,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-07-2012,AQS,60130002,1,0.035,ppm,32,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-08-2012,AQS,60130002,1,0.034,ppm,31,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-09-2012,AQS,60130002,1,0.024,ppm,22,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-10-2012,AQS,60130002,1,0.033,ppm,31,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-11-2012,AQS,60130002,1,0.022,ppm,20,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-12-2012,AQS,60130002,1,0.028,ppm,26,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/13/2012,AQS,60130002,1,0.023,ppm,21,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/14/2012,AQS,60130002,1,0.023,ppm,21,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/15/2012,AQS,60130002,1,0.034,ppm,31,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/16/2012,AQS,60130002,1,0.031,ppm,29,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/17/2012,AQS,60130002,1,0.028,ppm,26,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/18/2012,AQS,60130002,1,0.03,ppm,28,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/19/2012,AQS,60130002,1,0.028,ppm,26,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/20/2012,AQS,60130002,1,0.032,ppm,30,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/21/2012,AQS,60130002,1,0.036,ppm,33,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/22/2012,AQS,60130002,1,0.032,ppm,30,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/23/2012,AQS,60130002,1,0.02,ppm,19,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/24/2012,AQS,60130002,1,0.018,ppm,17,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/25/2012,AQS,60130002,1,0.017,ppm,16,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/27/2012,AQS,60130002,1,0.032,ppm,30,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/28/2012,AQS,60130002,1,0.027,ppm,25,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/29/2012,AQS,60130002,1,0.029,ppm,27,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/30/2012,AQS,60130002,1,0.024,ppm,22,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/31/2012,AQS,60130002,1,0.026,ppm,24,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-01-2012,AQS,60130002,1,0.03,ppm,28,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-02-2012,AQS,60130002,1,0.034,ppm,31,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-03-2012,AQS,60130002,1,0.026,ppm,24,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-04-2012,AQS,60130002,1,0.032,ppm,30,Concord,17,100,44201,Ozone,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
