Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-04-2013,AQS,60130002,1,18,ug/m3 SC,17,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-10-2013,AQS,60130002,1,5,ug/m3 SC,5,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/16/2013,AQS,60130002,1,27,ug/m3 SC,25,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/22/2013,AQS,60130002,1,32,ug/m3 SC,30,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/28/2013,AQS,60130002,1,5,ug/m3 SC,5,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-09-2013,AQS,60130002,1,7,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02/21/2013,AQS,60130002,1,7,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03-05-2013,AQS,60130002,1,12,ug/m3 SC,11,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03/17/2013,AQS,60130002,1,8,ug/m3 SC,7,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03/29/2013,AQS,60130002,1,11,ug/m3 SC,10,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
04-10-2013,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
04/22/2013,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05-04-2013,AQS,60130002,1,24,ug/m3 SC,22,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05/16/2013,AQS,60130002,1,6,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05/28/2013,AQS,60130002,1,6,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
06-09-2013,AQS,60130002,1,6,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
06/21/2013,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07-03-2013,AQS,60130002,1,12,ug/m3 SC,11,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07/15/2013,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07/27/2013,AQS,60130002,1,8,ug/m3 SC,7,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
08-08-2013,AQS,60130002,1,6,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
08/20/2013,AQS,60130002,1,12,ug/m3 SC,11,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
09/13/2013,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
09/25/2013,AQS,60130002,1,7,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
10-07-2013,AQS,60130002,1,26,ug/m3 SC,24,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
10/19/2013,AQS,60130002,1,30,ug/m3 SC,28,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
10/31/2013,AQS,60130002,1,20,ug/m3 SC,19,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
11-12-2013,AQS,60130002,1,26,ug/m3 SC,24,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
12-06-2013,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
12/18/2013,AQS,60130002,1,22,ug/m3 SC,20,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
12/30/2013,AQS,60130002,1,47,ug/m3 SC,44,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-04-2013,AQS,60131002,1,28,ug/m3 SC,26,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01-10-2013,AQS,60131002,1,4,ug/m3 SC,4,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01/16/2013,AQS,60131002,1,39,ug/m3 SC,36,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01/22/2013,AQS,60131002,1,45,ug/m3 SC,42,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01/28/2013,AQS,60131002,1,4,ug/m3 SC,4,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
02-09-2013,AQS,60131002,1,9,ug/m3 SC,8,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
02/21/2013,AQS,60131002,1,9,ug/m3 SC,8,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
03-05-2013,AQS,60131002,1,13,ug/m3 SC,12,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
03/17/2013,AQS,60131002,1,11,ug/m3 SC,10,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
04-10-2013,AQS,60131002,1,10,ug/m3 SC,9,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
05-04-2013,AQS,60131002,1,34,ug/m3 SC,31,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
