Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2011,AQS,60190007,1,0.035,ppm,32,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-02-2011,AQS,60190007,1,0.028,ppm,26,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-03-2011,AQS,60190007,1,0.032,ppm,30,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-04-2011,AQS,60190007,1,0.016,ppm,15,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-05-2011,AQS,60190007,1,0.003,ppm,3,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-06-2011,AQS,60190007,1,0.007,ppm,6,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-07-2011,AQS,60190007,1,0.003,ppm,3,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-08-2011,AQS,60190007,1,0.009,ppm,8,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-09-2011,AQS,60190007,1,0.013,ppm,12,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-10-2011,AQS,60190007,1,0.021,ppm,19,Fresno-Drummond,17,100,44201,Ozone,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
