Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60190008,1,93.4,ug/m3 LC,171,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-02-2012,AQS,60190008,1,57.5,ug/m3 LC,152,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-03-2012,AQS,60190008,1,46.8,ug/m3 LC,129,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-04-2012,AQS,60190008,1,64.1,ug/m3 LC,155,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-05-2012,AQS,60190008,1,75.7,ug/m3 LC,161,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-06-2012,AQS,60190008,1,58.1,ug/m3 LC,152,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-07-2012,AQS,60190008,1,36.8,ug/m3 LC,104,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-08-2012,AQS,60190008,1,52.7,ug/m3 LC,143,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-09-2012,AQS,60190008,1,42.9,ug/m3 LC,119,"3425 N FIRST ST, FRESNO",1,100,88101,PM2.5 - Local Conditions,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
01-10-2012,AQS,60190008,1,34.7,ug/m3 LC,99,"3425 N FIRST ST, FRESNO",1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,23420,"Fresno, CA",6,California,19,Fresno,36.78133285,-119.7731898
