Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-02-2014,AQS,60190007,1,1,ppm,11,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-03-2014,AQS,60190007,1,1.2,ppm,14,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-04-2014,AQS,60190007,1,1.2,ppm,14,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-05-2014,AQS,60190007,1,1.4,ppm,16,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-06-2014,AQS,60190007,1,1.6,ppm,18,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-07-2014,AQS,60190007,1,1.8,ppm,20,Fresno-Drummond,23,96,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-08-2014,AQS,60190007,1,1.5,ppm,17,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/15/2014,AQS,60190007,1,0.8,ppm,9,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/16/2014,AQS,60190007,1,0.8,ppm,9,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/17/2014,AQS,60190007,1,0.8,ppm,9,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/18/2014,AQS,60190007,1,0.7,ppm,8,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/19/2014,AQS,60190007,1,0.9,ppm,10,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/20/2014,AQS,60190007,1,0.8,ppm,9,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/21/2014,AQS,60190007,1,0.7,ppm,8,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/23/2014,AQS,60190007,1,0.7,ppm,8,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/24/2014,AQS,60190007,1,0.9,ppm,10,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/25/2014,AQS,60190007,1,1,ppm,11,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/26/2014,AQS,60190007,1,1.1,ppm,13,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/27/2014,AQS,60190007,1,0.7,ppm,8,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/28/2014,AQS,60190007,1,0.8,ppm,9,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/29/2014,AQS,60190007,1,0.6,ppm,7,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/31/2014,AQS,60190007,1,0.5,ppm,6,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-01-2014,AQS,60190007,1,0.6,ppm,7,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-02-2014,AQS,60190007,1,0.6,ppm,7,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-03-2014,AQS,60190007,1,0.5,ppm,6,Fresno-Drummond,18,75,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-05-2014,AQS,60190007,1,0.6,ppm,7,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-06-2014,AQS,60190007,1,0.6,ppm,7,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-07-2014,AQS,60190007,1,0.4,ppm,5,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-08-2014,AQS,60190007,1,0.4,ppm,5,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-09-2014,AQS,60190007,1,0.3,ppm,3,Fresno-Drummond,24,100,42101,Carbon monoxide,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
