Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-06-2015,AQS,60190007,1,70,ug/m3 SC,58,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01-12-2015,AQS,60190007,1,60,ug/m3 SC,53,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/18/2015,AQS,60190007,1,30,ug/m3 SC,28,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/24/2015,AQS,60190007,1,31,ug/m3 SC,29,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
01/30/2015,AQS,60190007,1,41,ug/m3 SC,38,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-05-2015,AQS,60190007,1,35,ug/m3 SC,32,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02-11-2015,AQS,60190007,1,29,ug/m3 SC,27,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02/17/2015,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
02/23/2015,AQS,60190007,1,7,ug/m3 SC,6,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03-01-2015,AQS,60190007,1,11,ug/m3 SC,10,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03-07-2015,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/13/2015,AQS,60190007,1,39,ug/m3 SC,36,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/19/2015,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/25/2015,AQS,60190007,1,18,ug/m3 SC,17,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
03/31/2015,AQS,60190007,1,39,ug/m3 SC,36,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04-06-2015,AQS,60190007,1,18,ug/m3 SC,17,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04-12-2015,AQS,60190007,1,18,ug/m3 SC,17,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/18/2015,AQS,60190007,1,36,ug/m3 SC,33,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/24/2015,AQS,60190007,1,28,ug/m3 SC,26,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
04/30/2015,AQS,60190007,1,34,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05-06-2015,AQS,60190007,1,27,ug/m3 SC,25,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05-12-2015,AQS,60190007,1,23,ug/m3 SC,21,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/18/2015,AQS,60190007,1,17,ug/m3 SC,16,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/24/2015,AQS,60190007,1,19,ug/m3 SC,18,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
05/30/2015,AQS,60190007,1,33,ug/m3 SC,31,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06-05-2015,AQS,60190007,1,36,ug/m3 SC,33,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06-11-2015,AQS,60190007,1,26,ug/m3 SC,24,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/17/2015,AQS,60190007,1,41,ug/m3 SC,38,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/23/2015,AQS,60190007,1,32,ug/m3 SC,30,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
06/29/2015,AQS,60190007,1,39,ug/m3 SC,36,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07-05-2015,AQS,60190007,1,23,ug/m3 SC,21,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
07-11-2015,AQS,60190007,1,21,ug/m3 SC,19,Fresno-Drummond,1,100,81102,PM10 Total 0-10um STP,23420,"Fresno, CA",6,California,19,Fresno,36.705474,-119.741332
