Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2012,AQS,60231002,1,17.3,ug/m3 LC,62,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-04-2012,AQS,60231002,1,11.3,ug/m3 LC,47,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-07-2012,AQS,60231002,1,14.2,ug/m3 LC,55,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01-10-2012,AQS,60231002,1,11.9,ug/m3 LC,50,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/16/2012,AQS,60231002,1,10.4,ug/m3 LC,43,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/19/2012,AQS,60231002,1,0.8,ug/m3 LC,3,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/22/2012,AQS,60231002,1,1.7,ug/m3 LC,7,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/25/2012,AQS,60231002,1,8.5,ug/m3 LC,35,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/28/2012,AQS,60231002,1,14.9,ug/m3 LC,57,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
01/31/2012,AQS,60231002,1,2.5,ug/m3 LC,10,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02-03-2012,AQS,60231002,1,6.5,ug/m3 LC,27,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02-09-2012,AQS,60231002,1,10.8,ug/m3 LC,45,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02-12-2012,AQS,60231002,1,4.5,ug/m3 LC,19,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02/15/2012,AQS,60231002,1,8.3,ug/m3 LC,35,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
02/21/2012,AQS,60231002,1,3.8,ug/m3 LC,16,Eureka I Street,1,100,88101,PM2.5 - Local Conditions,21700,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.80178,-124.1621
