Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2011,AQS,60250005,1,0.035,ppm,32,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-02-2011,AQS,60250005,1,0.034,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-03-2011,AQS,60250005,1,0.03,ppm,28,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-04-2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-05-2011,AQS,60250005,1,0.031,ppm,29,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-06-2011,AQS,60250005,1,0.031,ppm,29,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-07-2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-08-2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-09-2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-10-2011,AQS,60250005,1,0.031,ppm,29,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-11-2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-12-2011,AQS,60250005,1,0.031,ppm,29,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/13/2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/14/2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/15/2011,AQS,60250005,1,0.037,ppm,34,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/16/2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/17/2011,AQS,60250005,1,0.025,ppm,23,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/18/2011,AQS,60250005,1,0.026,ppm,24,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/19/2011,AQS,60250005,1,0.026,ppm,24,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/20/2011,AQS,60250005,1,0.035,ppm,32,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/21/2011,AQS,60250005,1,0.036,ppm,33,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/22/2011,AQS,60250005,1,0.036,ppm,33,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/23/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/24/2011,AQS,60250005,1,0.035,ppm,32,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/25/2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/26/2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/27/2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/28/2011,AQS,60250005,1,0.031,ppm,29,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/29/2011,AQS,60250005,1,0.028,ppm,26,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/30/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/31/2011,AQS,60250005,1,0.036,ppm,33,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-02-2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-03-2011,AQS,60250005,1,0.039,ppm,36,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-04-2011,AQS,60250005,1,0.025,ppm,23,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-05-2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-06-2011,AQS,60250005,1,0.034,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-07-2011,AQS,60250005,1,0.03,ppm,28,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-08-2011,AQS,60250005,1,0.034,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-09-2011,AQS,60250005,1,0.034,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-10-2011,AQS,60250005,1,0.033,ppm,31,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-11-2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-12-2011,AQS,60250005,1,0.039,ppm,36,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/13/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/14/2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/15/2011,AQS,60250005,1,0.041,ppm,38,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/16/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/17/2011,AQS,60250005,1,0.044,ppm,41,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/18/2011,AQS,60250005,1,0.032,ppm,30,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/19/2011,AQS,60250005,1,0.037,ppm,34,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/20/2011,AQS,60250005,1,0.043,ppm,40,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/21/2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/22/2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/23/2011,AQS,60250005,1,0.044,ppm,41,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/24/2011,AQS,60250005,1,0.041,ppm,38,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/25/2011,AQS,60250005,1,0.042,ppm,39,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/26/2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/27/2011,AQS,60250005,1,0.042,ppm,39,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02/28/2011,AQS,60250005,1,0.043,ppm,40,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-01-2011,AQS,60250005,1,0.042,ppm,39,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-02-2011,AQS,60250005,1,0.051,ppm,47,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-03-2011,AQS,60250005,1,0.037,ppm,34,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-04-2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-05-2011,AQS,60250005,1,0.044,ppm,41,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-06-2011,AQS,60250005,1,0.043,ppm,40,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-07-2011,AQS,60250005,1,0.04,ppm,37,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-08-2011,AQS,60250005,1,0.046,ppm,43,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-09-2011,AQS,60250005,1,0.043,ppm,40,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-10-2011,AQS,60250005,1,0.041,ppm,38,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-11-2011,AQS,60250005,1,0.051,ppm,47,Calexico-Ethel Street,15,88,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03-12-2011,AQS,60250005,1,0.054,ppm,50,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/13/2011,AQS,60250005,1,0.05,ppm,46,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/14/2011,AQS,60250005,1,0.057,ppm,58,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/15/2011,AQS,60250005,1,0.053,ppm,49,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/16/2011,AQS,60250005,1,0.041,ppm,38,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/17/2011,AQS,60250005,1,0.047,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/18/2011,AQS,60250005,1,0.052,ppm,48,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/19/2011,AQS,60250005,1,0.048,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/20/2011,AQS,60250005,1,0.044,ppm,41,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/21/2011,AQS,60250005,1,0.048,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/22/2011,AQS,60250005,1,0.046,ppm,43,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/23/2011,AQS,60250005,1,0.046,ppm,43,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/24/2011,AQS,60250005,1,0.048,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/25/2011,AQS,60250005,1,0.041,ppm,38,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/26/2011,AQS,60250005,1,0.048,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/27/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/28/2011,AQS,60250005,1,0.048,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/29/2011,AQS,60250005,1,0.046,ppm,43,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/30/2011,AQS,60250005,1,0.037,ppm,34,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
03/31/2011,AQS,60250005,1,0.038,ppm,35,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-01-2011,AQS,60250005,1,0.044,ppm,41,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-02-2011,AQS,60250005,1,0.043,ppm,40,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-03-2011,AQS,60250005,1,0.042,ppm,39,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-04-2011,AQS,60250005,1,0.049,ppm,45,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-05-2011,AQS,60250005,1,0.045,ppm,42,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-07-2011,AQS,60250005,1,0.05,ppm,46,Calexico-Ethel Street,15,88,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-08-2011,AQS,60250005,1,0.047,ppm,44,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-09-2011,AQS,60250005,1,0.051,ppm,47,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-10-2011,AQS,60250005,1,0.055,ppm,51,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-11-2011,AQS,60250005,1,0.051,ppm,47,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04-12-2011,AQS,60250005,1,0.056,ppm,54,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04/13/2011,AQS,60250005,1,0.057,ppm,58,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04/14/2011,AQS,60250005,1,0.06,ppm,67,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
04/15/2011,AQS,60250005,1,0.058,ppm,61,Calexico-Ethel Street,17,100,44201,Ozone,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
