Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2014,AQS,60250005,1,38.7,ug/m3 LC,109,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-02-2014,AQS,60250005,1,12.9,ug/m3 LC,53,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-03-2014,AQS,60250005,1,24.8,ug/m3 LC,78,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-04-2014,AQS,60250005,1,40.8,ug/m3 LC,114,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-05-2014,AQS,60250005,1,14.7,ug/m3 LC,56,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-06-2014,AQS,60250005,1,16.9,ug/m3 LC,61,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-07-2014,AQS,60250005,1,16.8,ug/m3 LC,61,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-08-2014,AQS,60250005,1,35.6,ug/m3 LC,101,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-09-2014,AQS,60250005,1,28.7,ug/m3 LC,86,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-10-2014,AQS,60250005,1,33.5,ug/m3 LC,96,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-11-2014,AQS,60250005,1,47.3,ug/m3 LC,130,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01-12-2014,AQS,60250005,1,50.3,ug/m3 LC,137,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/13/2014,AQS,60250005,1,5.2,ug/m3 LC,22,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/14/2014,AQS,60250005,1,7,ug/m3 LC,29,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/15/2014,AQS,60250005,1,14.7,ug/m3 LC,56,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/16/2014,AQS,60250005,1,8.7,ug/m3 LC,36,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/17/2014,AQS,60250005,1,10,ug/m3 LC,42,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/18/2014,AQS,60250005,1,13.1,ug/m3 LC,53,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/19/2014,AQS,60250005,1,19.8,ug/m3 LC,67,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/20/2014,AQS,60250005,1,13.3,ug/m3 LC,54,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/21/2014,AQS,60250005,1,11.2,ug/m3 LC,47,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/22/2014,AQS,60250005,1,25.2,ug/m3 LC,79,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/23/2014,AQS,60250005,1,38.6,ug/m3 LC,109,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/24/2014,AQS,60250005,1,14.1,ug/m3 LC,55,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/25/2014,AQS,60250005,1,15.9,ug/m3 LC,59,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/26/2014,AQS,60250005,1,26.9,ug/m3 LC,82,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/27/2014,AQS,60250005,1,10.3,ug/m3 LC,43,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/28/2014,AQS,60250005,1,13.3,ug/m3 LC,54,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/29/2014,AQS,60250005,1,18.5,ug/m3 LC,64,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/30/2014,AQS,60250005,1,17,ug/m3 LC,61,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
01/31/2014,AQS,60250005,1,6.3,ug/m3 LC,26,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-01-2014,AQS,60250005,1,5,ug/m3 LC,21,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-02-2014,AQS,60250005,1,6.6,ug/m3 LC,28,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
02-03-2014,AQS,60250005,1,8,ug/m3 LC,33,Calexico-Ethel Street,1,100,88101,PM2.5 - Local Conditions,20940,"El Centro, CA",6,California,25,Imperial,32.67618,-115.48307
