Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-2011,AQS,60290007,1,1,ppb,1,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-02-2011,AQS,60290007,1,0,ppb,0,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-03-2011,AQS,60290007,1,11,ppb,10,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-04-2011,AQS,60290007,1,26,ppb,25,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-05-2011,AQS,60290007,1,14,ppb,13,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-06-2011,AQS,60290007,1,17,ppb,16,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-07-2011,AQS,60290007,1,16,ppb,15,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-08-2011,AQS,60290007,1,13,ppb,12,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-09-2011,AQS,60290007,1,10,ppb,9,Edison,22,92,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-10-2011,AQS,60290007,1,18,ppb,17,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-11-2011,AQS,60290007,1,23,ppb,22,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01-12-2011,AQS,60290007,1,32,ppb,30,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/13/2011,AQS,60290007,1,19,ppb,18,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/14/2011,AQS,60290007,1,36,ppb,34,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/15/2011,AQS,60290007,1,13,ppb,12,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/16/2011,AQS,60290007,1,11,ppb,10,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/17/2011,AQS,60290007,1,7,ppb,7,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/18/2011,AQS,60290007,1,11,ppb,10,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/19/2011,AQS,60290007,1,20,ppb,19,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/20/2011,AQS,60290007,1,19,ppb,18,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/21/2011,AQS,60290007,1,26,ppb,25,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/22/2011,AQS,60290007,1,21,ppb,20,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/23/2011,AQS,60290007,1,12,ppb,11,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/24/2011,AQS,60290007,1,19,ppb,18,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/25/2011,AQS,60290007,1,37,ppb,35,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/26/2011,AQS,60290007,1,28,ppb,26,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/27/2011,AQS,60290007,1,26,ppb,25,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/28/2011,AQS,60290007,1,25,ppb,24,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/29/2011,AQS,60290007,1,17,ppb,16,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/30/2011,AQS,60290007,1,12,ppb,11,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
01/31/2011,AQS,60290007,1,25,ppb,24,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
02-01-2011,AQS,60290007,1,10,ppb,9,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
02-02-2011,AQS,60290007,1,13,ppb,12,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
02-03-2011,AQS,60290007,1,26,ppb,25,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
02-04-2011,AQS,60290007,1,28,ppb,26,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
02-05-2011,AQS,60290007,1,17,ppb,16,Edison,23,96,42602,Nitrogen dioxide (NO2),12540,"Bakersfield, CA",6,California,29,Kern,35.345607,-118.851825
